HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Monaco,Lyon,7,13,1,3,2,5,10,17,2,2,1,0,0,2,A
Marseille,Reims,10,8,2,5,5,3,18,8,1,0,0,0,0,0,A
Angers,Bordeaux,14,8,4,3,4,3,11,15,2,1,0,0,3,1,H
Brest,Toulouse,16,13,5,3,4,7,11,14,0,0,0,0,1,0,D
Dijon,St Etienne,15,12,7,4,12,5,17,10,0,2,0,0,1,2,A
Montpellier,Rennes,24,9,5,3,7,1,20,19,3,3,0,1,0,1,A
Nice,Amiens,17,8,6,2,7,3,10,8,3,4,0,1,1,0,H
Lille,Nantes,13,13,3,3,5,11,13,17,2,4,0,0,1,0,H
Strasbourg,Metz,13,7,2,3,3,4,6,12,0,1,0,0,1,0,D
Paris SG,Nimes,12,5,5,1,2,6,17,8,2,0,0,0,1,0,H
Lyon,Angers,11,10,9,3,2,5,7,14,1,2,0,0,3,0,H
Nantes,Marseille,13,9,6,2,7,3,16,18,0,3,0,0,0,0,D
Amiens,Lille,8,10,3,1,3,10,13,7,1,1,0,1,0,0,H
Bordeaux,Montpellier,13,10,4,4,3,5,15,21,2,1,0,0,0,1,D
Metz,Monaco,18,12,10,6,6,4,16,7,1,2,0,1,1,0,H
Nimes,Nice,18,6,5,3,2,1,21,12,5,5,2,1,1,2,A
Toulouse,Dijon,18,18,7,5,7,5,11,5,2,0,0,0,0,0,H
St Etienne,Brest,19,9,5,4,4,2,16,8,1,2,0,0,0,1,D
Reims,Strasbourg,11,4,1,1,2,4,18,19,2,0,0,0,0,0,D
Rennes,Paris SG,11,9,4,2,4,7,15,19,1,5,0,0,1,1,H
Amiens,Nantes,3,25,1,6,2,5,9,13,1,1,1,0,0,0,A
Angers,Metz,15,4,5,2,2,1,15,8,1,2,0,0,2,0,H
Brest,Reims,8,10,4,2,6,5,18,14,1,1,0,0,0,0,H
Dijon,Bordeaux,10,10,1,3,3,7,12,18,0,2,0,0,0,1,A
Monaco,Nimes,16,14,6,4,6,7,14,17,2,1,1,0,2,0,D
Strasbourg,Rennes,19,7,3,4,6,0,13,13,4,2,1,0,0,1,A
Paris SG,Toulouse,21,3,11,0,12,1,8,13,0,1,0,0,0,0,H
Montpellier,Lyon,19,14,5,4,8,2,14,11,2,4,0,1,1,0,H
Lille,St Etienne,16,9,7,4,3,3,9,12,0,0,0,0,1,0,H
Nice,Marseille,12,12,3,5,4,3,7,13,1,1,0,0,0,1,A
Metz,Paris SG,7,10,2,4,4,7,11,13,1,0,0,0,0,2,A
Lyon,Bordeaux,10,18,3,6,4,5,12,14,4,3,1,0,1,0,D
Angers,Dijon,12,5,3,2,5,3,11,17,0,2,0,0,0,0,H
Nantes,Montpellier,14,8,7,1,6,2,14,12,2,2,0,0,0,0,H
Nimes,Brest,21,7,8,3,8,2,11,17,3,4,0,0,2,0,H
Toulouse,Amiens,13,10,4,1,4,3,15,8,0,1,0,0,0,0,H
Reims,Lille,12,11,5,3,5,1,19,15,3,2,0,1,0,0,H
Rennes,Nice,11,11,3,7,8,6,13,13,2,3,0,0,1,0,A
Strasbourg,Monaco,14,16,5,6,6,4,14,17,4,3,0,0,1,2,D
Marseille,St Etienne,9,12,2,3,5,6,16,7,5,2,0,0,1,0,H
Lille,Angers,13,8,4,4,4,4,3,16,1,2,0,0,1,0,H
Amiens,Lyon,11,12,2,6,4,1,12,14,3,2,0,0,1,2,D
