HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ajaccio,Troyes,9,8,4,5,4,1,12,18,1,1,0,0,0,1,A
Ajaccio GFCO,Paris FC,12,13,8,4,6,5,6,16,3,2,1,0,0,1,D
Clermont,Chateauroux,19,11,7,3,3,5,11,19,0,1,0,0,0,0,D
Grenoble,Sochaux,10,6,3,2,5,8,14,14,1,2,0,0,0,0,H
Nancy,Beziers,7,5,1,2,1,0,16,11,2,1,1,0,0,1,A
Orleans,Lens,7,13,3,7,9,4,17,13,2,1,0,0,0,1,A
Red Star,Niort,11,10,7,7,3,6,24,16,2,1,0,0,0,0,A
Valenciennes,Auxerre,11,8,7,5,3,5,9,28,3,3,0,0,3,1,H
Lorient,Le Havre,14,22,4,8,8,10,30,34,2,2,0,0,0,0,D
Brest,Metz,4,13,1,6,2,5,13,13,1,0,0,0,0,1,A
Auxerre,Ajaccio GFCO,12,4,7,4,6,2,19,15,1,2,0,0,1,2,A
Le Havre,Grenoble,10,10,5,5,4,5,17,14,1,0,0,0,0,0,D
Metz,Orleans,10,5,9,1,3,4,17,15,1,2,0,1,2,0,H
Niort,Clermont,10,10,4,6,5,8,13,10,1,0,0,0,1,1,H
Paris FC,Nancy,5,3,3,0,5,1,15,15,0,1,0,0,0,0,H
Sochaux,Valenciennes,13,6,5,4,3,2,18,16,2,2,0,0,0,1,A
Troyes,Brest,10,6,6,3,4,9,9,17,2,0,0,0,1,2,A
Beziers,Ajaccio,8,6,2,2,4,4,15,14,0,3,0,0,0,1,A
Lens,Red Star,8,5,2,1,4,6,14,14,0,0,0,0,1,0,H
Chateauroux,Lorient,10,9,4,5,2,4,13,15,2,3,0,0,0,0,A
Ajaccio,Sochaux,10,10,5,4,6,2,16,22,3,5,0,0,0,1,A
Ajaccio GFCO,Lorient,13,10,7,6,5,5,18,18,3,3,0,0,1,1,A
Brest,Paris FC,8,7,1,2,10,2,20,15,1,0,0,0,0,1,D
Grenoble,Niort,13,8,3,1,5,8,14,20,1,4,0,0,1,0,H
Nancy,Lens,7,6,3,4,2,4,15,15,1,1,0,0,0,2,A
Orleans,Auxerre,3,7,1,4,1,4,8,3,2,1,0,0,0,2,A
Red Star,Le Havre,13,4,5,1,8,1,16,17,4,1,1,0,0,1,A
Troyes,Beziers,8,7,4,4,3,2,15,18,2,1,0,0,0,1,A
Valenciennes,Chateauroux,6,7,1,3,2,3,48,34,2,4,0,0,1,0,D
Clermont,Metz,8,9,6,4,4,6,18,12,0,2,1,0,1,0,A
Ajaccio GFCO,Grenoble,12,7,5,2,8,3,14,15,2,1,0,0,1,0,H
Auxerre,Nancy,11,8,6,1,7,8,18,8,1,1,0,0,1,0,H
Chateauroux,Red Star,10,11,2,4,6,4,7,10,0,1,1,0,0,0,D
Le Havre,Clermont,8,12,4,2,4,7,16,14,1,0,0,0,0,0,D
Lorient,Valenciennes,7,2,3,1,7,1,25,12,3,3,0,1,2,1,H
Niort,Orleans,9,9,6,5,9,4,19,19,3,3,0,0,1,0,D
Paris FC,Beziers,10,3,6,1,2,3,15,15,3,1,0,0,0,0,H
Sochaux,Brest,12,8,5,2,5,5,21,22,3,2,0,0,1,0,H
Lens,Troyes,10,6,6,1,15,4,10,16,1,2,0,0,0,0,H
Metz,Ajaccio,17,8,8,6,9,5,14,8,2,3,0,0,1,0,H
Ajaccio,Lorient,4,6,1,3,3,3,23,15,3,3,0,0,0,0,D
Brest,Le Havre,13,10,6,6,8,5,19,11,2,1,0,0,0,0,H
Clermont,Sochaux,12,8,7,2,6,3,16,21,2,4,0,0,0,0,H
Grenoble,Chateauroux,13,9,3,3,5,5,16,18,1,3,0,1,0,0,D
Nancy,Niort,5,6,2,4,2,3,18,17,1,3,0,0,0,0,A
Orleans,Paris FC,12,7,5,4,2,1,19,10,1,1,0,0,2,0,H
Red Star,Auxerre,8,14,3,8,3,10,10,18,0,2,0,0,0,0,H
Troyes,Metz,8,10,4,4,1,1,7,13,1,1,0,0,0,1,A
Valenciennes,Ajaccio GFCO,12,7,7,2,12,2,17,17,5,4,2,1,0,0,D
Ajaccio GFCO,Red Star,7,7,6,2,2,4,14,23,3,2,1,0,1,0,H
Auxerre,Brest,14,10,5,7,3,5,16,16,2,3,0,0,0,0,A
Chateauroux,Nancy,7,13,3,7,4,11,16,20,1,1,0,0,1,0,H
Le Havre,Orleans,12,14,4,4,3,6,15,20,3,2,0,0,2,0,H
Niort,Ajaccio,11,5,3,3,3,4,19,14,1,1,0,0,0,0,H
Paris FC,Troyes,9,7,7,3,1,8,16,12,1,3,0,1,1,0,H
Sochaux,Beziers,5,8,5,3,1,7,22,21,3,4,0,0,1,0,H
Valenciennes,Clermont,8,10,5,10,10,3,11,10,0,0,0,0,0,3,A
Metz,Lens,10,3,5,0,6,5,23,12,1,1,0,1,0,0,H
Lorient,Grenoble,8,10,3,4,4,8,15,26,3,4,0,0,1,0,H
Ajaccio,Paris FC,5,2,3,1,7,3,8,20,2,2,0,1,0,0,D
Brest,Ajaccio GFCO,12,10,5,3,3,6,16,12,0,2,0,1,2,1,H
Clermont,Auxerre,8,6,3,1,4,3,9,18,0,3,0,0,1,0,H
Grenoble,Valenciennes,26,7,12,4,6,3,10,9,1,2,0,0,2,1,H
Nancy,Le Havre,8,16,2,3,3,4,15,17,3,3,1,0,0,1,A
Orleans,Chateauroux,10,12,4,1,2,8,11,13,2,2,0,0,1,0,H
Red Star,Lorient,4,11,1,5,5,3,14,10,3,0,0,0,0,2,A
Troyes,Niort,12,9,4,1,4,8,18,11,4,4,0,1,1,0,H
Lens,Sochaux,14,2,6,0,5,1,13,17,2,2,0,0,1,0,H
Beziers,Metz,9,10,5,6,4,7,8,16,1,2,0,0,0,0,A
Ajaccio GFCO,Nancy,5,13,1,5,3,4,23,18,5,6,0,0,0,0,A
Auxerre,Ajaccio,13,3,1,1,5,2,9,10,1,2,0,0,0,0,D
Chateauroux,Beziers,14,4,4,2,4,3,23,18,3,4,0,1,1,0,H
Grenoble,Brest,8,7,2,4,5,3,11,11,2,1,0,0,1,1,A
Le Havre,Troyes,13,8,4,2,8,6,9,14,0,1,0,0,1,0,D
Lorient,Clermont,13,11,3,1,8,4,10,6,2,2,0,0,0,0,D
