HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Le Havre,Pau FC,11.0,10.0,2.0,6.0,3.0,11.0,11.0,12.0,1.0,2.0,0.0,0.0,1.0,0.0,H
Niort,Rodez,9.0,13.0,1.0,7.0,4.0,6.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,A
Sochaux,Quevilly Rouen,9.0,7.0,4.0,3.0,7.0,0.0,15.0,14.0,2.0,2.0,0.0,0.0,0.0,1.0,D
Auxerre,Bastia,6.0,9.0,4.0,3.0,1.0,3.0,10.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,H
Toulouse,Guingamp,12.0,12.0,3.0,4.0,13.0,1.0,13.0,12.0,2.0,2.0,0.0,0.0,0.0,1.0,D
Bastia,Amiens,15.0,10.0,4.0,3.0,3.0,3.0,14.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,D
Caen,Grenoble,11.0,11.0,3.0,5.0,5.0,1.0,11.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,A
Dijon,Paris FC,22.0,8.0,3.0,2.0,13.0,7.0,10.0,20.0,1.0,3.0,0.0,0.0,0.0,1.0,A
Dunkerque,Le Havre,12.0,11.0,6.0,1.0,4.0,3.0,17.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,H
Nancy,Sochaux,9.0,13.0,3.0,2.0,5.0,5.0,14.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,D
Nimes,Niort,9.0,7.0,2.0,3.0,9.0,2.0,19.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,A
Pau FC,Ajaccio,9.0,9.0,1.0,1.0,1.0,2.0,14.0,19.0,2.0,4.0,0.0,0.0,0.0,0.0,H
Rodez,Quevilly Rouen,10.0,10.0,5.0,3.0,9.0,4.0,13.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,H
Valenciennes,Auxerre,11.0,18.0,5.0,9.0,5.0,5.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,A
Auxerre,Pau FC,16.0,6.0,7.0,5.0,5.0,1.0,17.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,H
Sochaux,Nimes,19.0,8.0,7.0,2.0,7.0,2.0,13.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,A
