HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Marseille,Lens,14,14,4,5,5,7,4,14,2,1,0,0,2,2,A
Lens,Reims,13,3,7,0,5,3,13,13,3,1,0,1,1,0,H
Montpellier,Strasbourg,12,6,4,3,3,4,12,14,2,0,0,0,1,1,D
Nice,Brest,20,6,9,2,6,2,8,12,1,1,0,0,1,0,H
Rennes,Paris SG,12,13,4,0,4,4,9,4,2,3,0,0,1,0,H
Angers,Metz,18,2,5,2,12,2,16,11,1,3,0,0,0,1,H
Lorient,Clermont,6,8,1,4,4,4,19,12,2,1,0,0,0,1,D
Monaco,Bordeaux,12,4,4,1,10,2,12,13,2,1,0,0,1,0,H
Nantes,Troyes,8,15,4,4,3,7,14,10,2,2,0,0,0,0,H
Lille,Marseille,12,10,5,3,3,5,10,13,2,3,0,1,1,0,H
St Etienne,Lyon,18,15,6,5,6,4,14,10,2,3,0,1,0,1,D
Paris SG,Angers,13,7,2,2,6,5,8,10,1,2,0,0,0,1,H
Clermont,Lille,9,9,3,2,6,9,9,8,1,2,0,0,1,0,H
Lyon,Monaco,14,9,8,3,2,4,8,10,1,2,0,0,0,0,H
Troyes,Nice,8,11,3,3,3,3,10,20,2,1,0,0,1,0,H
Bordeaux,Nantes,8,13,1,7,2,5,10,16,2,3,0,0,0,0,D
Brest,Reims,9,13,4,2,7,7,18,13,3,4,0,0,0,1,D
Metz,Rennes,9,21,2,8,4,10,14,9,3,1,0,0,0,3,A
Strasbourg,St Etienne,12,4,6,2,7,4,18,10,3,2,0,1,2,1,H
Montpellier,Lens,15,19,6,5,3,2,8,16,4,4,1,0,0,0,H
Marseille,Lorient,16,15,6,7,6,4,7,10,0,1,0,0,1,1,H
St Etienne,Angers,17,4,6,2,6,1,12,18,0,3,0,0,0,1,D
Nantes,Clermont,8,4,4,1,1,3,15,11,1,0,1,1,1,0,H
Lille,Brest,13,13,3,5,5,4,10,15,1,2,0,0,1,1,D
Nice,Lyon,17,13,7,8,3,2,11,7,1,0,0,1,0,1,H
Lens,Metz,11,9,5,4,5,6,9,13,2,3,0,0,2,1,H
Lorient,Bordeaux,14,11,4,5,9,4,12,13,4,2,0,1,0,0,D
Reims,Troyes,18,7,5,4,7,1,14,13,4,2,1,0,1,1,A
Rennes,Strasbourg,17,8,3,2,11,6,6,11,1,2,0,0,0,0,H
Monaco,Montpellier,14,12,4,3,4,4,14,16,1,4,0,0,2,0,H
Marseille,Paris SG,15,10,1,4,4,5,7,8,1,2,0,1,0,0,D
Nice,Marseille,11,7,3,1,6,5,16,8,2,2,0,0,1,1,D
Paris SG,Lille,17,11,6,3,4,5,7,10,1,5,0,0,0,1,H
Metz,St Etienne,9,10,4,3,5,8,16,11,0,3,0,0,1,1,D
Lyon,Lens,13,18,4,10,3,5,7,13,1,2,0,0,2,0,H
Angers,Nice,3,14,2,5,3,8,14,9,1,2,0,0,1,0,A
Bordeaux,Reims,17,12,7,8,12,2,5,10,3,2,0,0,0,1,H
Montpellier,Nantes,19,12,10,1,5,5,12,23,3,5,0,0,0,0,H
Strasbourg,Lorient,15,5,6,0,6,3,12,10,1,0,0,0,3,0,H
Troyes,Rennes,14,13,5,5,5,12,6,15,0,1,0,0,2,1,D
Brest,Monaco,7,5,3,2,2,5,8,17,1,5,0,0,1,0,H
Clermont,Marseille,12,9,1,4,4,2,14,11,1,4,0,0,0,1,A
Lens,Troyes,28,14,12,6,4,2,14,8,1,1,0,0,3,0,H
Lille,Angers,11,9,6,5,4,8,13,9,2,2,1,0,1,0,D
Bordeaux,Paris SG,18,9,6,5,10,5,9,10,2,1,0,0,0,2,A
Marseille,Metz,15,12,3,4,9,7,8,9,1,3,0,1,0,0,D
Lorient,Brest,9,16,3,5,3,6,10,8,1,1,1,0,1,0,A
Nantes,Strasbourg,20,17,6,6,9,5,15,12,2,1,0,1,1,1,D
Reims,Monaco,11,12,4,3,5,6,9,13,0,2,0,0,0,0,D
St Etienne,Clermont,18,9,4,4,9,2,7,10,1,1,0,0,0,0,H
Nice,Montpellier,22,8,6,2,8,2,9,7,2,0,0,0,0,0,A
Rennes,Lyon,25,6,12,4,7,2,12,12,2,2,0,0,1,0,H
Monaco,Lille,17,15,8,8,6,5,15,16,3,5,1,0,1,2,D
Paris SG,Nantes,14,12,7,6,4,3,8,12,1,2,1,0,1,0,H
Rennes,Montpellier,30,4,7,2,8,2,9,10,1,3,0,1,2,0,H
Brest,Lens,13,14,5,5,5,5,7,7,1,2,0,1,3,0,H
Angers,Lorient,8,10,4,3,6,3,15,13,4,0,0,0,0,0,H
Metz,Bordeaux,20,19,9,5,2,4,12,11,2,2,1,0,1,2,D
Strasbourg,Reims,21,10,3,3,5,4,8,13,1,4,0,0,0,1,D
Troyes,St Etienne,15,14,3,4,6,8,13,11,1,4,0,0,0,0,A
