HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ajaccio,Le Havre,12,12,4,3,5,8,12,15,4,5,0,1,1,0,D
Chambly,Valenciennes,14,9,5,0,2,5,21,16,2,2,0,0,0,0,H
Clermont,Chateauroux,11,11,7,5,8,3,13,16,1,3,0,1,1,0,H
Guingamp,Grenoble,22,5,8,3,8,1,8,17,1,2,0,0,2,0,D
Nancy,Orleans,8,6,1,3,6,2,15,15,1,1,0,0,0,0,D
Niort,Troyes,4,14,2,5,1,5,12,15,2,1,0,0,0,1,A
Rodez,Auxerre,10,17,3,4,4,3,11,18,1,2,0,0,2,0,H
Sochaux,Caen,11,3,0,0,3,5,13,22,1,3,0,0,0,0,D
Le Mans,Lens,21,14,4,5,5,2,18,12,1,0,0,0,1,0,A
Lorient,Paris FC,13,3,4,2,8,2,14,13,0,4,0,1,1,0,H
Auxerre,Le Mans,20,6,6,3,2,4,9,12,1,2,0,0,0,0,H
Chateauroux,Rodez,10,10,2,0,1,3,18,9,2,2,0,0,0,0,D
Grenoble,Ajaccio,7,11,0,5,3,2,14,18,4,3,0,0,0,0,A
Le Havre,Niort,14,8,4,2,5,3,11,15,1,2,0,0,0,1,D
Orleans,Chambly,15,9,4,2,7,4,13,15,0,2,1,1,0,1,A
Paris FC,Sochaux,9,6,2,1,7,1,12,15,1,2,0,0,1,0,D
Troyes,Clermont,10,7,3,5,1,4,18,15,3,1,1,0,1,0,A
Valenciennes,Nancy,7,19,1,8,2,5,13,15,1,0,0,0,1,0,D
Lens,Guingamp,14,12,6,2,2,8,10,13,2,3,0,0,0,0,H
Caen,Lorient,7,6,4,2,5,2,13,13,4,2,0,0,0,2,A
Ajaccio,Caen,23,6,7,4,13,7,13,8,4,1,1,1,0,2,A
Chambly,Grenoble,5,7,1,2,7,1,14,15,3,1,0,0,0,0,D
Guingamp,Orleans,11,8,5,4,3,5,10,15,1,3,0,0,1,0,H
Le Mans,Valenciennes,21,12,7,5,12,2,16,18,1,2,0,0,0,0,A
Nancy,Lorient,7,9,2,2,3,7,19,20,3,5,0,1,0,0,D
Niort,Chateauroux,17,8,11,0,3,4,16,10,1,1,0,1,1,0,H
Rodez,Paris FC,8,7,5,3,6,2,17,15,2,3,0,1,1,1,H
Sochaux,Auxerre,8,6,3,0,3,5,13,13,1,3,0,0,0,0,H
Troyes,Le Havre,15,11,5,5,10,5,7,10,0,3,0,1,0,1,A
Clermont,Lens,11,13,4,6,5,3,12,18,2,2,0,0,0,0,D
