HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Bayern Munich,Schalke 04,22,5,12,1,9,2,11,12,1,2,0,0,3,0,H
Ein Frankfurt,Bielefeld,18,14,6,4,14,3,14,13,2,2,0,0,0,0,D
FC Koln,Hoffenheim,13,13,6,7,1,6,12,13,0,0,0,0,1,2,A
Stuttgart,Freiburg,22,7,7,6,7,2,12,16,2,2,0,0,0,2,A
Union Berlin,Augsburg,13,9,3,5,8,1,9,9,2,0,0,0,0,1,A
Werder Bremen,Hertha,17,13,7,6,7,4,13,17,2,0,0,0,0,2,A
Dortmund,M'gladbach,9,8,4,2,1,3,10,9,1,1,0,0,1,0,H
RB Leipzig,Mainz,23,8,10,1,7,5,5,11,1,2,0,0,2,0,H
Wolfsburg,Leverkusen,9,6,1,2,4,4,13,12,1,2,0,0,0,0,D
Hertha,Ein Frankfurt,12,10,6,3,4,3,13,16,3,4,0,0,0,2,A
Augsburg,Dortmund,6,16,4,7,3,11,7,8,3,4,0,0,1,0,H
Bielefeld,FC Koln,7,12,3,2,4,7,12,15,3,3,0,0,0,0,H
Leverkusen,RB Leipzig,11,7,4,2,4,1,16,10,1,3,0,0,1,1,D
Mainz,Stuttgart,11,15,3,7,3,9,10,17,2,4,1,1,1,1,A
M'gladbach,Union Berlin,14,15,5,2,7,5,11,15,1,2,0,0,0,0,D
Schalke 04,Werder Bremen,17,17,4,8,8,3,20,14,7,2,1,0,0,2,A
Hoffenheim,Bayern Munich,17,14,8,2,3,5,15,11,3,2,0,0,2,1,H
Freiburg,Wolfsburg,21,8,7,2,9,1,10,13,0,3,0,0,1,1,D
Union Berlin,Mainz,13,5,7,0,4,2,13,11,1,4,0,0,1,0,H
Dortmund,Freiburg,16,6,7,2,3,2,8,12,1,1,0,0,1,0,H
Ein Frankfurt,Hoffenheim,16,11,6,4,5,7,12,8,2,3,0,0,0,1,H
FC Koln,M'gladbach,8,17,3,11,4,10,16,12,3,3,0,0,0,2,A
Stuttgart,Leverkusen,11,15,2,7,7,12,8,17,3,2,0,0,0,1,D
Werder Bremen,Bielefeld,7,10,2,5,2,1,12,16,2,2,0,0,1,0,H
RB Leipzig,Schalke 04,21,4,7,1,8,1,13,10,1,3,0,0,3,0,H
Wolfsburg,Augsburg,17,9,6,1,12,2,7,13,0,1,0,0,0,0,D
Bayern Munich,Hertha,22,9,9,5,6,1,13,19,3,3,0,0,1,0,H
Augsburg,RB Leipzig,6,15,2,6,5,8,9,13,0,1,0,0,0,1,A
Freiburg,Werder Bremen,19,14,4,4,4,4,10,14,3,3,0,0,1,1,D
Hertha,Stuttgart,16,7,4,2,6,4,14,10,2,2,0,0,0,1,A
Hoffenheim,Dortmund,8,15,3,5,4,6,13,11,1,1,0,0,0,0,A
Mainz,Leverkusen,5,9,0,4,6,2,12,6,3,1,0,0,0,1,A
Bielefeld,Bayern Munich,11,16,5,10,6,10,6,6,1,0,0,1,0,3,A
M'gladbach,Wolfsburg,13,14,2,5,5,4,14,13,2,2,0,0,0,0,D
FC Koln,Ein Frankfurt,9,16,5,4,2,8,19,18,3,2,0,0,0,1,D
Schalke 04,Union Berlin,8,13,4,7,5,7,7,13,3,1,0,0,0,0,D
Stuttgart,FC Koln,9,14,4,4,3,5,11,13,2,5,0,0,1,1,D
Bayern Munich,Ein Frankfurt,20,9,10,2,10,2,11,12,3,0,0,0,2,0,H
Mainz,M'gladbach,15,21,7,12,3,7,18,11,5,3,0,0,2,1,A
RB Leipzig,Hertha,29,11,8,3,7,3,10,20,1,4,0,1,1,1,H
Union Berlin,Freiburg,22,8,7,4,4,2,9,14,1,4,0,0,1,1,D
Dortmund,Schalke 04,17,3,7,0,7,2,5,15,0,1,0,0,0,0,H
Wolfsburg,Bielefeld,14,8,4,1,4,3,12,10,2,1,0,0,2,0,H
Werder Bremen,Hoffenheim,5,15,2,6,1,4,10,20,2,2,0,0,1,1,D
Leverkusen,Augsburg,15,7,7,3,3,3,14,8,1,2,0,0,1,0,H
Schalke 04,Stuttgart,9,19,2,5,3,4,11,14,2,2,0,0,1,0,D
Augsburg,Mainz,14,8,7,4,4,1,12,10,5,1,0,0,1,0,H
Bielefeld,Dortmund,5,21,2,10,0,12,12,13,1,1,0,0,0,0,A
Ein Frankfurt,Werder Bremen,14,9,5,4,5,3,12,14,1,3,0,0,0,0,D
FC Koln,Bayern Munich,9,7,2,5,5,1,12,13,1,2,0,0,0,2,A
M'gladbach,RB Leipzig,5,15,4,3,2,4,13,17,2,4,0,0,0,0,H
Freiburg,Leverkusen,8,18,5,7,4,6,10,11,2,2,0,0,1,2,A
Hertha,Wolfsburg,18,11,5,4,8,6,8,15,3,1,0,0,1,1,D
Hoffenheim,Union Berlin,10,9,5,6,3,6,19,13,1,2,1,0,0,0,A
Werder Bremen,FC Koln,18,8,4,1,1,3,20,20,2,2,0,0,0,0,D
Augsburg,Hertha,10,12,2,6,2,6,12,10,3,0,0,0,0,1,A
Mainz,Schalke 04,14,22,7,3,4,9,19,13,1,1,0,0,2,1,D
RB Leipzig,Freiburg,15,8,7,3,3,4,14,14,2,3,0,0,1,0,H
Stuttgart,Ein Frankfurt,16,15,5,8,10,8,14,16,2,4,0,0,2,0,D
Union Berlin,Bielefeld,9,5,8,1,5,1,17,9,0,1,0,0,3,0,H
Dortmund,Bayern Munich,15,16,5,8,4,3,15,7,2,2,0,0,1,1,A
Wolfsburg,Hoffenheim,14,17,8,5,3,7,15,14,1,3,0,0,2,0,H
Leverkusen,M'gladbach,15,15,5,6,6,2,15,12,4,2,0,0,2,2,H
Bayern Munich,Werder Bremen,15,9,3,4,7,3,10,10,1,3,0,0,0,1,D
Bielefeld,Leverkusen,1,10,1,4,0,10,6,10,0,1,0,0,0,1,A
Hoffenheim,Stuttgart,13,20,8,9,3,4,15,18,3,2,0,0,1,2,D
M'gladbach,Augsburg,15,10,6,5,2,1,7,12,1,4,0,1,1,0,D
Schalke 04,Wolfsburg,13,19,6,8,6,4,12,11,0,1,0,0,0,2,A
Ein Frankfurt,RB Leipzig,8,10,3,3,5,6,18,12,3,2,0,0,1,0,D
Hertha,Dortmund,9,15,3,8,4,3,12,17,1,1,0,0,1,0,A
Freiburg,Mainz,19,22,6,8,9,4,6,12,0,1,0,0,0,3,A
FC Koln,Union Berlin,10,10,4,3,5,4,12,15,1,2,0,0,1,1,A
Wolfsburg,Werder Bremen,12,5,6,4,0,5,12,12,2,3,0,1,3,2,H
Augsburg,Freiburg,10,10,2,5,4,1,15,8,3,1,0,0,0,0,D
Dortmund,FC Koln,14,7,4,5,6,2,11,10,1,2,0,0,0,1,A
RB Leipzig,Bielefeld,15,13,7,3,6,7,13,15,2,2,0,0,1,0,H
Stuttgart,Bayern Munich,15,14,4,6,4,3,11,13,0,0,0,0,1,2,A
Union Berlin,Ein Frankfurt,15,12,7,5,4,5,12,16,2,3,0,0,2,2,D
M'gladbach,Schalke 04,19,13,9,2,5,4,8,14,2,3,0,0,2,1,H
Leverkusen,Hertha,14,5,2,3,6,1,16,19,2,1,0,0,0,0,D
Mainz,Hoffenheim,10,9,4,5,11,5,16,10,0,0,0,1,1,0,D
Hertha,Union Berlin,10,4,7,1,9,2,15,9,1,3,0,1,0,1,H
Bielefeld,Mainz,11,15,5,5,2,3,16,18,3,2,0,0,2,0,H
Ein Frankfurt,Dortmund,9,16,1,5,6,5,14,6,6,1,0,0,1,0,D
FC Koln,Wolfsburg,6,16,3,6,3,8,12,11,0,1,0,0,2,1,D
Freiburg,M'gladbach,22,11,7,4,5,5,12,19,1,2,0,0,1,1,D
Bayern Munich,RB Leipzig,10,8,6,4,10,2,5,8,0,1,0,0,2,2,D
Werder Bremen,Stuttgart,14,11,4,7,2,4,10,15,4,4,0,0,0,1,A
Schalke 04,Leverkusen,13,24,4,9,2,8,17,11,2,3,0,0,0,1,A
Hoffenheim,Augsburg,10,13,7,3,4,3,15,9,0,1,0,0,1,1,H
Wolfsburg,Ein Frankfurt,16,7,8,4,8,1,10,12,5,2,0,0,0,0,H
Dortmund,Stuttgart,12,18,4,10,8,2,11,13,2,3,0,0,1,1,A
Freiburg,Bielefeld,16,5,7,1,5,4,16,13,3,0,0,0,0,0,H
Mainz,FC Koln,15,9,4,6,5,3,15,11,4,4,0,1,0,0,A
M'gladbach,Hertha,17,9,4,3,13,2,9,18,3,2,0,0,0,0,D
RB Leipzig,Werder Bremen,15,7,7,2,1,6,17,12,3,1,0,0,2,0,H
Union Berlin,Bayern Munich,13,15,6,5,4,7,17,8,3,2,0,0,1,0,D
Augsburg,Schalke 04,8,15,4,4,2,3,17,13,3,4,1,0,1,0,D
Leverkusen,Hoffenheim,13,11,8,4,6,5,12,13,3,6,0,2,2,0,H
Ein Frankfurt,M'gladbach,11,8,4,4,4,5,18,15,6,4,1,0,3,1,D
Hertha,Mainz,9,5,0,0,5,4,17,11,3,1,0,0,0,0,D
Stuttgart,Union Berlin,13,15,6,6,2,3,15,14,3,3,0,0,0,1,D
Werder Bremen,Dortmund,7,15,3,9,4,4,10,13,3,2,0,0,1,1,A
Schalke 04,Freiburg,10,11,2,5,2,3,15,9,2,1,0,0,0,0,A
Bayern Munich,Wolfsburg,13,17,2,7,7,7,14,16,3,1,0,0,1,1,H
Bielefeld,Augsburg,12,8,2,2,1,3,14,15,1,2,0,0,0,0,A
FC Koln,Leverkusen,7,14,1,7,2,6,12,12,1,1,0,0,0,2,A
Hoffenheim,RB Leipzig,7,4,3,3,5,5,16,14,2,0,0,0,0,0,A
Union Berlin,Dortmund,12,16,5,4,8,6,9,7,1,1,0,0,0,0,H
Augsburg,Ein Frankfurt,15,15,4,6,2,4,9,10,1,4,0,0,0,0,A
Mainz,Werder Bremen,9,13,1,7,2,5,15,11,2,2,0,0,0,0,A
M'gladbach,Hoffenheim,15,14,5,5,3,3,13,22,1,3,1,0,1,0,A
RB Leipzig,FC Koln,14,4,6,1,8,2,11,8,1,0,0,0,0,0,D
Schalke 04,Bielefeld,11,8,5,3,1,6,17,19,6,5,0,0,0,0,A
Leverkusen,Bayern Munich,8,14,3,3,5,7,13,6,1,1,0,0,1,1,A
Freiburg,Hertha,17,10,9,3,7,3,9,16,0,0,0,0,1,0,H
