HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Hertha,Freiburg,13,8,5,3,8,3,12,14,2,0,0,0,1,1,D
M'gladbach,Mainz,16,13,8,4,4,6,4,10,0,2,0,0,1,0,H
Freiburg,M'gladbach,13,11,7,2,3,10,9,12,1,1,0,0,1,1,H
Dortmund,Hertha,19,10,5,4,8,2,7,15,2,3,0,0,1,1,D
Fortuna Dusseldorf,Wolfsburg,8,18,1,6,4,9,12,11,3,6,0,0,0,1,A
Hannover,Augsburg,17,9,4,4,5,4,15,16,2,3,0,0,0,1,A
Hoffenheim,Stuttgart,22,6,10,0,6,3,11,9,1,1,0,1,0,0,H
Mainz,Bayern Munich,6,21,1,5,2,7,13,6,3,1,0,0,0,1,A
Nurnberg,Ein Frankfurt,10,10,3,2,8,6,11,13,2,3,0,0,0,0,D
RB Leipzig,Schalke 04,15,6,2,0,7,4,11,13,3,2,0,0,0,0,D
Werder Bremen,Leverkusen,14,17,6,10,6,6,9,8,2,2,0,0,0,3,A
Stuttgart,Ein Frankfurt,10,15,0,7,1,3,4,10,1,2,0,0,0,2,A
Augsburg,Nurnberg,17,13,4,5,6,6,16,11,3,3,0,0,1,0,D
Bayern Munich,Freiburg,24,10,6,1,14,2,9,8,1,1,0,0,0,0,D
Hertha,RB Leipzig,12,25,5,11,3,7,6,11,2,1,0,0,0,1,A
Leverkusen,Hoffenheim,21,10,9,4,6,7,6,17,0,2,0,0,1,2,A
Schalke 04,Hannover,16,20,6,6,7,7,10,10,2,3,0,0,0,0,H
Wolfsburg,Dortmund,13,12,3,1,6,14,6,9,0,2,0,0,0,1,A
Mainz,Werder Bremen,13,14,6,4,3,6,7,8,0,2,0,0,1,0,H
M'gladbach,Fortuna Dusseldorf,21,13,7,6,10,4,15,8,1,2,0,0,0,0,H
Hannover,Wolfsburg,10,19,4,9,3,5,14,8,4,2,0,0,1,0,H
Dortmund,Bayern Munich,11,9,5,3,0,6,4,8,3,3,0,0,0,1,H
Fortuna Dusseldorf,Hertha,20,11,9,5,2,6,15,15,1,3,0,1,0,0,H
Freiburg,Mainz,15,12,4,9,3,4,19,10,1,2,0,0,0,2,A
Hoffenheim,Augsburg,18,22,7,7,6,6,14,6,1,1,0,0,0,0,H
Nurnberg,Stuttgart,10,13,3,4,3,9,14,10,1,0,0,0,0,0,A
Werder Bremen,M'gladbach,20,16,5,6,9,5,7,2,0,0,0,0,0,1,A
Ein Frankfurt,Schalke 04,14,5,4,1,10,4,7,13,0,2,0,0,0,0,H
RB Leipzig,Leverkusen,14,7,7,2,4,3,12,12,0,1,0,0,1,0,H
Leverkusen,Stuttgart,17,10,4,2,6,9,13,8,3,3,0,0,0,0,H
Augsburg,Ein Frankfurt,25,15,10,7,8,5,3,12,1,2,0,0,0,1,A
Bayern Munich,Fortuna Dusseldorf,17,9,5,5,9,2,4,7,0,1,0,0,2,1,D
Hertha,Hoffenheim,23,13,8,6,8,5,9,13,1,2,0,0,1,2,D
Mainz,Dortmund,15,11,7,7,6,5,9,11,2,1,0,0,0,0,A
Schalke 04,Nurnberg,20,12,10,6,7,2,7,12,1,2,0,1,2,1,H
Wolfsburg,RB Leipzig,5,10,3,4,2,9,10,13,1,2,0,0,0,0,H
Freiburg,Werder Bremen,23,19,9,8,6,3,6,10,0,2,0,0,1,0,D
M'gladbach,Hannover,20,5,6,3,5,5,8,10,1,1,0,0,2,1,H
Fortuna Dusseldorf,Mainz,20,15,7,3,12,5,8,7,1,1,0,0,0,0,A
Dortmund,Freiburg,11,5,4,1,2,3,6,11,1,1,0,0,1,0,H
Hannover,Hertha,10,14,2,8,3,6,9,14,2,3,0,0,0,1,A
Hoffenheim,Schalke 04,20,13,7,5,4,10,11,13,3,3,0,0,0,0,D
Stuttgart,Augsburg,13,17,3,4,3,8,11,10,4,2,0,0,1,0,H
Werder Bremen,Bayern Munich,9,16,3,5,3,10,13,8,3,2,1,0,1,1,A
Ein Frankfurt,Wolfsburg,13,10,2,3,9,3,10,9,3,7,0,0,0,1,A
RB Leipzig,M'gladbach,14,7,6,4,5,4,9,9,2,2,0,0,2,0,H
Nurnberg,Leverkusen,11,20,4,6,3,6,14,10,3,2,0,0,0,1,D
Werder Bremen,Fortuna Dusseldorf,22,12,9,3,6,4,13,18,3,4,0,0,1,1,H
Bayern Munich,Nurnberg,20,4,8,1,11,1,9,6,1,0,0,0,2,0,H
Freiburg,RB Leipzig,12,15,9,4,3,12,9,16,1,2,0,0,2,0,H
Hertha,Ein Frankfurt,7,18,4,4,5,9,15,14,1,0,0,0,1,0,H
Leverkusen,Augsburg,21,13,7,1,4,2,11,17,1,2,0,0,0,0,H
Schalke 04,Dortmund,6,10,3,3,3,1,12,9,4,3,0,0,0,1,A
Wolfsburg,Hoffenheim,10,19,3,6,6,4,9,9,1,2,0,0,2,1,D
Mainz,Hannover,28,11,5,3,9,1,12,9,4,3,0,1,0,1,D
M'gladbach,Stuttgart,23,7,7,2,7,4,7,12,2,4,0,1,0,0,H
Nurnberg,Wolfsburg,11,10,0,4,6,3,13,13,2,1,0,0,0,0,A
Augsburg,Schalke 04,17,15,9,5,6,7,17,8,2,1,0,0,1,0,D
Dortmund,Werder Bremen,16,9,9,5,4,10,11,14,1,4,0,0,2,1,H
Fortuna Dusseldorf,Freiburg,20,6,8,2,4,1,13,9,2,1,0,0,0,0,H
Hannover,Bayern Munich,3,32,0,14,0,14,9,5,1,0,0,0,0,2,A
Hoffenheim,M'gladbach,27,5,6,1,6,2,9,10,0,2,0,0,0,0,D
Stuttgart,Hertha,9,15,4,3,5,5,11,13,1,3,0,0,0,1,H
Ein Frankfurt,Leverkusen,17,12,7,6,10,7,9,8,6,2,0,0,1,0,H
RB Leipzig,Mainz,17,11,7,5,6,2,9,13,3,3,0,0,2,1,H
Fortuna Dusseldorf,Dortmund,8,11,3,3,2,2,8,13,1,2,0,0,1,0,H
Hertha,Augsburg,17,8,7,2,3,2,17,13,1,0,0,0,2,2,D
M'gladbach,Nurnberg,17,7,7,2,6,7,5,19,2,3,0,0,0,0,H
Wolfsburg,Stuttgart,16,11,5,1,4,8,10,17,1,2,0,0,2,0,H
Bayern Munich,RB Leipzig,10,8,4,2,5,5,9,20,2,2,1,1,0,0,H
Freiburg,Hannover,14,18,7,3,5,2,13,14,0,2,0,0,1,1,D
Mainz,Ein Frankfurt,17,12,6,4,3,2,13,15,3,3,0,0,2,2,D
Schalke 04,Leverkusen,18,8,4,5,7,1,14,19,4,4,0,0,1,2,A
Werder Bremen,Hoffenheim,26,14,5,4,6,3,7,13,0,1,0,0,0,1,D
Dortmund,M'gladbach,12,3,4,2,4,2,5,12,0,1,0,0,1,1,H
Ein Frankfurt,Bayern Munich,10,9,3,7,3,4,9,4,2,1,0,0,0,1,A
Hannover,Fortuna Dusseldorf,17,13,3,6,4,6,14,19,2,3,0,0,0,0,A
