HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Bayern Munich,Hertha,17,6,7,3,12,0,6,17,3,3,0,0,1,2,D
Dortmund,Augsburg,23,5,10,1,10,0,8,6,0,0,0,0,1,1,H
Freiburg,Mainz,19,19,8,5,5,5,6,15,1,3,0,0,0,0,H
Leverkusen,Paderborn,13,11,4,6,6,6,8,9,2,0,0,0,2,2,H
Werder Bremen,Fortuna Dusseldorf,23,12,10,7,14,5,8,13,0,2,0,0,0,1,A
Wolfsburg,FC Koln,14,11,5,2,2,6,14,18,1,3,0,0,1,0,H
M'gladbach,Schalke 04,16,8,4,1,8,3,8,10,3,2,0,0,0,0,D
Ein Frankfurt,Hoffenheim,17,10,8,1,10,5,16,9,3,1,0,0,1,0,H
Union Berlin,RB Leipzig,13,14,2,8,3,6,14,5,1,0,0,0,0,3,A
FC Koln,Dortmund,13,14,1,6,7,8,11,10,2,1,0,0,1,0,A
Augsburg,Union Berlin,12,13,4,1,3,4,16,19,3,1,0,1,0,0,D
Fortuna Dusseldorf,Leverkusen,11,11,6,7,1,5,14,10,3,2,0,0,0,3,A
Hoffenheim,Werder Bremen,10,18,3,6,3,6,13,15,2,5,0,1,0,1,H
Mainz,M'gladbach,21,15,4,6,3,5,12,14,2,2,0,0,1,1,A
Paderborn,Freiburg,15,9,2,4,9,5,20,6,3,1,0,0,1,2,A
Schalke 04,Bayern Munich,9,10,2,6,3,4,11,10,0,0,0,0,0,1,A
RB Leipzig,Ein Frankfurt,13,11,5,5,4,1,10,13,2,3,0,0,1,0,H
Hertha,Wolfsburg,8,9,2,4,2,5,15,11,1,0,0,0,0,1,A
M'gladbach,RB Leipzig,11,14,3,6,9,5,17,19,3,2,0,0,0,1,A
Bayern Munich,Mainz,19,7,10,4,10,1,16,12,3,3,0,0,2,1,H
Freiburg,FC Koln,14,9,1,3,5,6,6,15,0,2,0,0,1,0,A
Leverkusen,Hoffenheim,20,6,2,1,19,0,7,11,2,2,0,0,0,0,D
Schalke 04,Hertha,9,9,2,3,5,3,13,9,1,1,0,0,1,0,H
Wolfsburg,Paderborn,15,7,5,3,8,3,8,12,0,3,0,0,0,1,D
Union Berlin,Dortmund,15,13,7,2,7,4,13,2,0,0,0,0,1,1,H
Werder Bremen,Augsburg,15,12,5,6,4,2,9,11,1,4,0,1,2,1,H
Ein Frankfurt,Fortuna Dusseldorf,15,14,8,4,4,1,13,15,2,4,0,0,0,1,H
Fortuna Dusseldorf,Wolfsburg,12,15,3,6,3,8,7,14,0,2,0,0,1,1,D
Augsburg,Ein Frankfurt,9,23,6,3,2,11,8,8,2,1,0,0,2,0,H
Dortmund,Leverkusen,11,22,9,12,3,3,9,11,0,3,0,0,1,0,H
FC Koln,M'gladbach,14,15,7,4,4,7,22,17,2,2,0,0,0,1,A
Mainz,Hertha,14,16,5,8,6,3,16,11,2,2,0,0,1,0,H
Union Berlin,Werder Bremen,12,16,5,7,7,4,23,10,3,4,1,1,1,1,A
RB Leipzig,Bayern Munich,12,14,6,7,3,6,11,4,4,2,0,0,1,1,D
Hoffenheim,Freiburg,22,16,5,8,12,4,10,6,0,2,0,0,0,2,A
Paderborn,Schalke 04,9,18,1,11,3,5,17,12,2,1,0,0,1,1,A
Schalke 04,Mainz,19,14,6,3,5,5,7,15,1,1,0,0,1,0,H
Bayern Munich,FC Koln,24,16,5,2,12,4,15,20,4,0,0,1,1,0,H
Freiburg,Augsburg,17,12,5,2,7,4,13,13,1,1,0,0,1,1,D
Hertha,Paderborn,6,17,4,8,1,8,13,15,4,4,0,0,1,0,H
Leverkusen,Union Berlin,20,4,7,0,8,1,10,10,0,1,0,1,2,0,H
Werder Bremen,RB Leipzig,11,14,1,7,4,7,11,13,0,3,0,1,0,2,A
M'gladbach,Fortuna Dusseldorf,23,18,11,4,10,4,14,11,2,3,0,0,0,1,H
Ein Frankfurt,Dortmund,17,15,3,7,5,8,18,10,2,2,0,0,1,1,D
