HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Stuttgart,Hannover,14,7,7,2,4,3,14,15,6,3,1,1,2,1,H
Dresden,Nurnberg,16,5,3,2,12,1,16,9,2,2,0,0,0,0,A
Holstein Kiel,Sandhausen,21,15,3,3,5,7,4,22,0,4,0,0,0,1,D
Osnabruck,Heidenheim,9,9,2,6,6,6,12,13,2,1,1,0,0,0,A
Hamburg,Darmstadt,24,8,7,4,7,2,12,15,2,4,0,0,0,0,D
Greuther Furth,Erzgebirge Aue,23,12,7,7,9,2,9,17,1,4,0,0,0,1,A
Regensburg,Bochum,17,16,6,4,5,3,13,9,2,2,0,0,1,0,H
Wehen,Karlsruhe,16,12,4,4,5,4,9,17,2,2,0,0,0,1,A
Bielefeld,St Pauli,22,5,5,3,8,0,8,15,2,2,0,0,0,1,D
Bochum,Bielefeld,19,15,8,7,4,5,9,17,3,2,0,0,0,0,D
Sandhausen,Osnabruck,13,18,4,4,5,2,15,8,4,1,0,0,0,0,A
St Pauli,Greuther Furth,15,6,5,5,7,1,9,16,0,1,0,0,1,2,A
Karlsruhe,Dresden,15,15,6,5,4,6,9,14,1,3,0,0,1,1,H
Hannover,Regensburg,21,9,6,7,8,1,11,12,1,2,0,0,0,0,D
Heidenheim,Stuttgart,15,23,5,10,3,10,8,12,0,1,0,0,0,0,D
Darmstadt,Holstein Kiel,12,22,5,2,4,15,9,16,0,1,0,0,1,0,H
Erzgebirge Aue,Wehen,11,23,6,7,1,5,15,20,4,5,0,0,2,1,H
Nurnberg,Hamburg,9,15,0,8,4,3,13,6,1,1,0,0,0,2,A
Hamburg,Bochum,14,7,6,0,14,0,8,16,1,1,0,0,0,0,H
Sandhausen,Nurnberg,15,11,6,6,3,6,14,16,3,3,0,0,2,1,H
Bielefeld,Erzgebirge Aue,14,12,5,8,9,1,17,16,1,3,0,0,1,0,H
Stuttgart,St Pauli,17,15,5,2,4,9,11,17,0,2,0,0,0,1,H
Wehen,Hannover,14,11,5,6,4,6,12,8,4,1,0,0,0,1,A
Dresden,Heidenheim,17,13,5,6,5,6,11,15,0,1,0,0,0,0,H
Greuther Furth,Regensburg,15,4,7,1,5,3,19,14,0,2,0,0,0,0,H
Holstein Kiel,Karlsruhe,20,17,7,2,6,3,15,13,0,2,1,0,1,1,H
Osnabruck,Darmstadt,21,8,8,1,3,6,16,16,3,4,0,0,1,0,H
Darmstadt,Dresden,11,11,2,2,4,4,10,16,2,2,0,0,0,0,D
Erzgebirge Aue,Stuttgart,10,12,0,5,2,7,12,9,1,6,0,1,0,0,D
Bochum,Wehen,23,16,9,7,7,3,12,9,3,1,1,0,0,3,D
Hannover,Greuther Furth,11,17,2,6,4,6,18,18,3,4,0,0,0,1,D
Regensburg,Bielefeld,10,14,3,4,5,7,14,8,4,1,0,0,0,1,A
Heidenheim,Sandhausen,13,15,2,4,8,5,9,8,1,0,0,0,0,0,A
Karlsruhe,Hamburg,21,16,7,7,5,2,10,13,2,3,0,0,0,2,A
Nurnberg,Osnabruck,16,7,7,2,14,1,16,8,2,2,0,0,0,0,H
St Pauli,Holstein Kiel,11,13,2,6,6,6,14,7,4,3,1,0,0,0,H
Nurnberg,Heidenheim,27,8,7,2,8,7,9,9,2,3,0,0,1,0,D
Sandhausen,Darmstadt,16,16,5,3,7,7,20,12,2,5,0,1,0,0,H
Bielefeld,Greuther Furth,19,13,6,5,10,3,13,13,0,3,0,0,1,2,D
Dresden,St Pauli,13,8,8,3,4,9,7,18,1,2,1,0,1,3,D
Wehen,Regensburg,11,14,2,9,7,5,12,8,1,0,0,0,0,2,A
Hamburg,Hannover,20,9,8,4,4,3,11,19,0,0,0,0,1,0,H
Holstein Kiel,Erzgebirge Aue,12,21,3,6,6,8,10,12,3,3,0,0,0,0,D
Osnabruck,Karlsruhe,20,10,7,3,8,6,19,16,2,3,0,0,1,0,H
Stuttgart,Bochum,17,13,6,5,3,6,7,6,0,1,0,0,1,1,H
Greuther Furth,Wehen,21,9,6,1,8,6,10,19,4,1,0,0,0,0,H
Karlsruhe,Sandhausen,14,17,5,5,7,6,12,12,2,3,0,0,0,0,H
Hannover,Bielefeld,13,7,4,4,6,2,13,15,5,1,1,0,0,1,A
Heidenheim,Holstein Kiel,15,14,6,1,5,8,12,11,1,1,0,0,2,0,H
Regensburg,Stuttgart,14,24,5,7,7,12,22,9,4,0,0,0,0,1,A
Bochum,Dresden,23,7,7,5,7,1,11,15,2,3,0,0,0,0,D
Darmstadt,Nurnberg,12,26,6,7,5,8,19,10,1,1,0,0,1,2,D
Erzgebirge Aue,Osnabruck,22,14,6,3,5,4,16,14,2,5,1,0,1,0,H
St Pauli,Hamburg,10,14,4,5,4,8,10,9,2,2,0,0,1,0,H
Heidenheim,Darmstadt,9,13,5,2,6,4,11,12,2,0,0,0,0,0,H
Holstein Kiel,Hannover,9,11,5,3,5,1,16,15,2,2,0,0,0,1,A
Nurnberg,Karlsruhe,16,13,7,3,1,8,12,13,0,0,0,0,1,1,D
Sandhausen,Bochum,20,14,6,5,5,6,15,12,1,4,0,0,0,0,D
Stuttgart,Greuther Furth,16,15,5,3,3,3,20,16,1,4,0,0,1,0,H
Wehen,Bielefeld,11,10,6,8,4,2,13,11,2,2,1,0,1,3,A
Dresden,Regensburg,10,17,7,3,4,5,18,17,1,3,0,0,0,1,H
Hamburg,Erzgebirge Aue,9,9,5,2,5,3,6,14,1,3,0,0,2,0,H
Osnabruck,St Pauli,16,13,5,3,5,8,16,16,2,4,0,1,1,1,D
Bielefeld,Stuttgart,10,11,2,4,2,4,12,5,3,1,1,0,0,0,A
Wehen,Osnabruck,15,4,4,0,3,1,20,9,3,1,0,0,1,0,H
Bochum,Darmstadt,15,10,5,6,5,4,19,12,2,1,0,0,2,1,D
Karlsruhe,Heidenheim,17,10,3,2,7,8,11,12,2,3,0,0,1,0,D
Regensburg,Hamburg,8,14,2,3,4,8,23,11,4,1,0,0,1,0,D
Erzgebirge Aue,Dresden,12,9,7,2,5,11,14,10,3,2,0,0,3,1,H
Greuther Furth,Holstein Kiel,6,18,2,9,3,5,14,13,1,1,0,0,0,1,A
St Pauli,Sandhausen,21,18,7,4,7,5,13,18,2,1,0,0,2,0,H
Hannover,Nurnberg,10,8,0,4,6,1,6,15,3,1,0,0,0,3,A
Darmstadt,Karlsruhe,21,8,5,2,11,3,4,8,1,2,0,0,1,1,D
Stuttgart,Wehen,30,6,6,4,8,1,10,9,1,3,0,1,1,2,A
