HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Hamburg,Holstein Kiel,14,16,3,8,4,10,11,11,1,3,0,0,0,0,A
Bochum,FC Koln,14,15,2,5,6,1,17,19,3,2,0,1,0,1,A
Greuther Furth,Sandhausen,16,10,5,5,6,8,19,11,1,1,0,0,0,0,H
Regensburg,Ingolstadt,13,13,9,3,5,9,23,20,1,3,0,0,1,1,H
Darmstadt,Paderborn,7,7,2,1,8,3,14,21,3,4,0,0,0,0,H
Heidenheim,Bielefeld,14,16,5,8,7,2,8,11,1,1,0,0,1,1,D
Magdeburg,St Pauli,6,5,2,4,3,4,8,11,0,1,0,0,1,1,A
Union Berlin,Erzgebirge Aue,17,6,3,1,5,2,20,18,2,3,0,0,0,0,H
Dresden,Duisburg,20,12,3,3,3,3,11,15,0,3,0,0,1,0,H
Ingolstadt,Greuther Furth,28,12,5,7,18,6,13,14,1,3,0,0,0,0,D
Paderborn,Regensburg,14,13,5,3,12,12,16,16,1,4,0,0,1,0,H
St Pauli,Darmstadt,16,18,3,3,2,1,13,13,3,3,0,0,0,0,H
Bielefeld,Dresden,16,12,5,4,4,2,17,18,1,3,0,0,2,0,H
Duisburg,Bochum,28,5,7,2,7,3,12,12,3,1,0,1,0,0,A
Erzgebirge Aue,Magdeburg,12,9,3,0,7,4,15,10,1,0,0,0,0,0,D
Holstein Kiel,Heidenheim,7,16,4,4,4,8,11,15,3,2,1,0,1,1,D
Sandhausen,Hamburg,11,7,2,4,5,2,11,16,2,1,0,0,0,2,A
FC Koln,Union Berlin,18,10,5,4,9,3,14,17,2,1,0,0,1,0,D
Bochum,Sandhausen,16,9,7,1,7,5,6,12,0,0,0,0,0,0,H
Darmstadt,Duisburg,10,15,4,5,4,5,16,12,0,2,0,0,0,0,H
FC Koln,Erzgebirge Aue,18,8,7,1,7,0,12,16,1,4,0,0,1,1,H
Greuther Furth,Paderborn,13,17,5,4,2,8,10,14,1,3,0,1,0,0,D
Magdeburg,Ingolstadt,16,8,2,2,6,1,13,24,3,3,0,0,1,1,D
Dresden,Heidenheim,23,15,4,5,8,4,11,20,3,3,0,0,0,2,A
Regensburg,Holstein Kiel,18,16,3,1,4,4,13,7,1,1,0,0,0,0,D
Union Berlin,St Pauli,11,11,5,4,1,5,17,11,1,3,0,0,2,0,H
Hamburg,Bielefeld,10,18,5,4,5,8,17,10,1,1,0,0,1,0,H
Ingolstadt,Erzgebirge Aue,12,11,5,3,4,3,20,17,3,0,0,0,1,1,H
Paderborn,Bochum,20,5,7,2,6,3,11,16,2,4,0,0,0,1,D
Bielefeld,Regensburg,20,14,10,6,4,7,14,12,3,2,0,0,3,2,H
Duisburg,Greuther Furth,17,20,4,8,6,6,17,19,2,4,0,0,0,1,A
Heidenheim,Darmstadt,16,17,5,8,7,6,11,11,1,2,0,0,0,1,A
