HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
M'gladbach,Bayern Munich,11,20,5,10,3,8,7,4,2,0,0,0,1,1,D
Augsburg,Hoffenheim,7,15,0,8,6,5,8,9,1,2,0,0,0,1,A
Bielefeld,Freiburg,10,14,4,6,4,9,13,10,3,4,0,0,0,0,D
Stuttgart,Greuther Furth,30,8,15,4,9,2,11,8,0,1,0,0,2,0,H
Union Berlin,Leverkusen,8,16,5,4,1,6,13,5,0,1,0,0,1,1,D
Wolfsburg,Bochum,21,7,9,1,5,2,9,7,0,2,0,1,1,0,H
Dortmund,Ein Frankfurt,12,12,7,3,7,3,5,14,0,0,0,0,3,1,H
Mainz,RB Leipzig,7,15,2,2,5,11,10,8,1,2,0,0,1,0,H
FC Koln,Hertha,15,11,5,5,4,5,18,14,4,2,0,0,1,1,H
RB Leipzig,Stuttgart,26,11,11,5,6,2,10,11,0,3,0,0,1,0,H
Bochum,Mainz,9,16,5,3,2,7,15,19,4,3,0,0,1,0,H
Ein Frankfurt,Augsburg,20,4,5,0,6,1,8,10,3,3,0,0,0,0,D
Freiburg,Dortmund,8,19,4,2,0,10,14,14,1,4,0,0,1,0,H
Greuther Furth,Bielefeld,20,9,5,2,5,0,12,15,4,2,0,1,0,1,D
Hertha,Wolfsburg,12,12,4,3,4,4,12,21,1,2,0,0,0,0,A
Leverkusen,M'gladbach,13,11,6,6,7,3,9,11,4,2,0,0,2,0,H
Hoffenheim,Union Berlin,7,11,3,8,6,5,8,11,1,3,0,1,2,1,D
Bayern Munich,FC Koln,18,10,6,3,3,4,14,10,1,1,0,0,0,0,H
Dortmund,Hoffenheim,23,9,13,5,4,7,9,12,2,3,0,0,0,0,H
Augsburg,Leverkusen,13,13,4,5,4,4,12,10,0,1,0,0,1,2,A
Bielefeld,Ein Frankfurt,14,12,5,3,4,4,13,17,0,3,0,0,0,1,D
FC Koln,Bochum,21,10,5,1,5,5,11,21,2,1,0,0,0,0,H
Mainz,Greuther Furth,17,8,9,1,7,4,21,14,2,2,0,0,2,0,H
Stuttgart,Freiburg,17,14,7,7,8,5,10,14,2,1,0,0,2,3,A
Bayern Munich,Hertha,17,8,6,3,8,3,4,5,0,0,0,0,2,0,H
Union Berlin,M'gladbach,12,18,4,5,4,8,15,6,2,0,0,0,2,0,H
Wolfsburg,RB Leipzig,8,12,2,2,7,7,13,18,4,2,0,0,0,0,H
Freiburg,FC Koln,10,15,3,5,4,2,14,12,1,3,0,1,0,1,D
Greuther Furth,Wolfsburg,7,10,3,4,3,5,17,15,2,3,0,0,0,1,A
Hoffenheim,Mainz,12,11,0,4,4,5,15,16,2,1,0,0,0,1,A
Leverkusen,Dortmund,11,15,5,7,4,3,10,11,4,3,0,0,2,1,A
Union Berlin,Augsburg,15,13,6,6,6,4,10,12,1,2,0,0,0,0,D
RB Leipzig,Bayern Munich,10,18,4,6,2,6,9,13,0,0,0,0,0,1,A
Ein Frankfurt,Stuttgart,18,9,5,3,6,6,13,12,1,4,0,1,0,0,D
Bochum,Hertha,19,5,5,4,7,2,9,17,0,3,0,0,0,2,A
M'gladbach,Bielefeld,17,18,4,7,3,4,10,18,1,1,0,0,1,1,H
Hertha,Greuther Furth,15,10,3,3,9,4,12,13,1,2,0,0,0,0,H
Augsburg,M'gladbach,8,11,1,1,2,6,13,9,1,2,0,0,0,0,H
Bayern Munich,Bochum,22,5,15,1,2,2,5,9,1,1,0,0,4,0,H
Bielefeld,Hoffenheim,9,16,2,3,5,6,16,3,2,1,0,0,0,0,D
Mainz,Freiburg,10,7,3,2,4,4,18,16,2,1,0,0,0,0,D
FC Koln,RB Leipzig,14,18,6,9,4,10,12,6,3,1,0,0,0,0,D
Stuttgart,Leverkusen,18,7,8,4,2,6,11,11,2,3,0,1,1,2,A
Dortmund,Union Berlin,13,9,4,6,3,6,10,12,2,3,0,0,2,0,H
Wolfsburg,Ein Frankfurt,15,6,6,2,7,4,14,18,2,6,0,0,0,1,D
Greuther Furth,Bayern Munich,11,12,6,4,6,3,18,13,4,1,0,1,0,2,A
Ein Frankfurt,FC Koln,10,15,3,2,7,6,11,19,2,3,0,0,1,1,D
Hoffenheim,Wolfsburg,11,13,3,2,5,2,13,9,2,2,0,0,1,1,H
Leverkusen,Mainz,16,14,9,5,6,3,11,12,4,3,0,0,0,0,H
RB Leipzig,Hertha,18,5,11,3,2,1,8,19,1,3,0,0,3,0,H
Union Berlin,Bielefeld,17,9,4,2,5,4,9,5,1,0,0,0,0,0,H
M'gladbach,Dortmund,14,8,3,0,5,1,17,15,4,4,0,1,1,0,H
Bochum,Stuttgart,14,8,4,3,7,2,15,12,2,5,0,0,0,0,D
Freiburg,Augsburg,19,8,9,2,6,3,11,13,0,1,0,0,3,0,H
FC Koln,Greuther Furth,18,7,8,3,8,1,16,18,1,1,0,0,0,1,H
Dortmund,Augsburg,17,5,3,3,7,3,9,16,1,3,0,0,1,1,H
Hertha,Freiburg,12,9,3,4,4,9,17,15,3,0,0,0,0,1,A
Stuttgart,Hoffenheim,12,13,6,4,9,4,14,12,0,1,0,0,1,0,H
Wolfsburg,M'gladbach,10,19,5,11,4,6,17,10,7,3,1,0,1,2,A
RB Leipzig,Bochum,15,9,9,2,2,3,10,16,1,1,0,0,0,0,H
Mainz,Union Berlin,11,15,4,3,2,5,15,6,2,4,1,0,1,0,A
Bayern Munich,Ein Frankfurt,21,5,11,3,10,1,6,8,2,1,0,0,1,1,A
Bielefeld,Leverkusen,10,19,3,7,2,4,13,7,4,1,0,0,0,2,A
Hoffenheim,FC Koln,14,10,8,0,3,3,13,7,1,1,0,0,1,0,H
Dortmund,Mainz,11,5,5,2,6,2,7,12,2,4,0,0,1,0,H
Ein Frankfurt,Hertha,13,12,5,6,7,4,17,16,1,2,0,0,0,1,A
Freiburg,RB Leipzig,15,13,2,4,8,5,10,17,0,4,0,0,0,1,D
Greuther Furth,Bochum,12,9,3,2,4,3,16,16,2,4,0,0,0,0,A
Union Berlin,Wolfsburg,6,13,3,4,3,3,7,16,3,1,0,0,0,0,H
M'gladbach,Stuttgart,31,5,8,2,9,1,14,21,3,3,0,0,1,1,D
Leverkusen,Bayern Munich,7,27,4,11,4,7,9,9,0,0,0,0,0,5,A
Augsburg,Bielefeld,14,10,6,3,9,5,8,15,3,1,0,0,1,0,D
Mainz,Augsburg,19,6,8,2,6,2,9,11,1,3,0,0,3,0,H
Bayern Munich,Hoffenheim,15,9,7,2,4,2,4,18,0,4,0,0,2,0,H
Bielefeld,Dortmund,13,14,6,7,7,2,13,9,1,0,0,0,0,2,A
RB Leipzig,Greuther Furth,13,8,5,4,3,4,15,12,2,0,0,0,0,1,H
Wolfsburg,Freiburg,17,11,4,4,7,1,17,15,3,0,0,0,0,1,A
Hertha,M'gladbach,10,10,4,1,2,6,11,21,2,2,0,0,1,0,H
FC Koln,Leverkusen,17,9,5,6,6,6,10,15,1,3,0,0,0,2,D
Stuttgart,Union Berlin,8,11,2,3,1,2,16,13,3,1,1,0,0,1,D
Bochum,Ein Frankfurt,19,14,7,6,4,7,9,11,0,2,0,0,1,0,H
Hoffenheim,Hertha,14,5,3,2,9,4,15,9,2,1,0,1,2,0,H
Bielefeld,Mainz,15,16,7,6,6,6,16,9,2,3,0,0,1,1,A
Dortmund,FC Koln,7,19,4,6,4,3,10,11,2,3,0,0,1,0,H
Freiburg,Greuther Furth,12,8,5,4,5,2,10,13,0,2,0,0,2,0,H
Leverkusen,Wolfsburg,12,13,1,8,10,2,11,15,3,2,0,1,0,0,A
Union Berlin,Bayern Munich,9,14,6,6,6,1,9,7,1,1,0,0,1,3,A
Ein Frankfurt,RB Leipzig,12,15,3,7,5,5,11,9,1,1,0,0,0,1,D
Augsburg,Stuttgart,20,12,12,3,7,5,15,12,3,4,0,0,1,1,H
M'gladbach,Bochum,14,11,5,4,9,1,7,15,1,1,0,0,2,0,H
Mainz,M'gladbach,19,11,8,5,9,1,15,8,3,3,0,0,0,1,D
Bayern Munich,Freiburg,29,14,11,4,6,4,5,13,0,0,0,0,1,0,H
