HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Hamburg,Fortuna Dusseldorf,7,12,4,4,7,8,20,11,2,3,0,1,1,0,H
Regensburg,Nurnberg,13,8,6,5,8,4,16,14,2,3,0,0,0,1,D
Hannover,Karlsruhe,13,15,6,5,4,7,14,12,0,1,0,0,1,0,H
Sandhausen,Darmstadt,11,17,6,9,4,9,18,14,5,1,0,0,2,1,H
Wurzburger Kickers,Erzgebirge Aue,13,14,1,6,5,5,9,19,1,0,0,0,0,0,A
Greuther Furth,Osnabruck,18,14,4,5,6,6,21,17,4,3,0,0,1,1,D
Heidenheim,Braunschweig,10,14,3,4,4,5,21,10,1,2,0,0,1,0,H
Holstein Kiel,Paderborn,11,11,4,4,3,4,14,15,3,1,0,0,0,0,H
Bochum,St Pauli,16,11,8,4,7,0,15,12,1,3,0,0,1,0,D
Erzgebirge Aue,Greuther Furth,7,15,2,2,5,4,14,6,2,1,0,0,1,1,D
Osnabruck,Hannover,13,10,5,3,5,4,13,20,2,5,0,0,1,0,H
Braunschweig,Holstein Kiel,13,15,2,3,3,6,10,13,0,5,0,0,0,0,D
Darmstadt,Regensburg,15,16,6,3,8,7,13,20,1,3,0,0,0,0,D
Fortuna Dusseldorf,Wurzburger Kickers,12,15,4,5,5,5,15,11,6,2,0,0,0,0,H
Karlsruhe,Bochum,21,6,4,2,5,4,10,17,4,4,0,1,0,1,A
Nurnberg,Sandhausen,26,6,12,3,14,10,9,12,3,1,0,0,0,0,H
St Pauli,Heidenheim,9,19,4,6,2,9,7,11,1,1,0,0,2,0,H
Paderborn,Hamburg,9,15,5,9,7,6,12,9,3,2,0,0,3,2,A
Bochum,Osnabruck,18,12,3,1,3,7,8,12,3,3,0,1,0,0,D
Sandhausen,St Pauli,10,22,3,4,5,11,16,12,2,2,0,0,1,0,H
Hannover,Braunschweig,23,7,8,3,4,4,12,10,2,3,0,0,0,0,H
Heidenheim,Paderborn,11,6,3,3,4,4,8,11,0,1,0,0,0,0,D
Regensburg,Karlsruhe,9,11,3,4,1,3,17,18,4,5,1,0,1,0,H
Holstein Kiel,Fortuna Dusseldorf,9,14,6,2,5,4,9,15,0,4,0,1,1,0,H
Wurzburger Kickers,Greuther Furth,15,10,5,2,6,5,17,16,1,3,0,0,1,1,D
Nurnberg,Darmstadt,13,17,4,6,3,7,13,18,2,2,0,0,1,0,A
Braunschweig,Bochum,14,12,7,4,6,4,10,12,3,2,1,0,1,1,H
Greuther Furth,Hamburg,19,9,6,4,6,7,22,14,5,1,0,1,0,1,A
Karlsruhe,Sandhausen,20,10,10,5,6,6,16,18,3,4,0,0,2,0,H
Erzgebirge Aue,Heidenheim,13,25,7,10,2,6,12,14,1,2,0,0,0,0,H
Fortuna Dusseldorf,Regensburg,8,20,3,8,6,7,12,14,1,3,0,0,0,2,D
Paderborn,Hannover,15,15,4,3,3,2,8,8,2,0,0,0,1,0,H
Wurzburger Kickers,Holstein Kiel,11,6,2,1,4,1,14,15,4,4,0,0,0,1,A
St Pauli,Nurnberg,20,10,9,4,7,1,17,21,3,6,0,0,1,1,D
Hamburg,Erzgebirge Aue,9,2,6,2,7,1,9,12,0,1,0,0,1,0,H
Nurnberg,Karlsruhe,13,8,3,2,5,5,11,14,1,5,0,1,1,0,D
Regensburg,Braunschweig,23,13,7,4,8,6,9,10,1,2,0,1,1,0,H
Darmstadt,St Pauli,16,12,5,7,5,2,11,22,2,4,0,0,1,0,D
Hamburg,Wurzburger Kickers,22,8,3,1,9,3,9,7,1,3,0,0,0,1,H
Hannover,Fortuna Dusseldorf,12,0,5,0,5,0,13,15,2,2,0,1,0,0,H
Holstein Kiel,Greuther Furth,10,22,3,8,4,7,11,16,4,1,1,0,0,2,A
Bochum,Erzgebirge Aue,18,5,7,2,12,0,13,9,2,2,0,1,0,0,H
Heidenheim,Osnabruck,15,17,5,5,11,7,11,11,0,2,0,0,0,0,D
Sandhausen,Paderborn,9,15,3,4,4,5,14,18,4,3,0,0,1,1,D
Osnabruck,Darmstadt,13,12,6,5,2,8,10,16,2,2,0,0,0,1,D
Fortuna Dusseldorf,Heidenheim,11,10,3,2,4,5,12,14,2,4,0,0,1,0,H
Hamburg,St Pauli,17,13,4,3,11,2,11,17,1,1,0,0,1,1,D
Braunschweig,Nurnberg,12,17,3,5,1,6,14,12,2,1,0,0,1,2,H
Erzgebirge Aue,Holstein Kiel,18,7,8,1,6,1,15,7,2,3,0,1,1,1,D
Osnabruck,Sandhausen,18,4,9,3,6,4,12,21,1,3,0,0,2,0,H
Paderborn,Regensburg,9,7,3,3,8,1,9,17,1,2,0,0,1,1,H
Greuther Furth,Hannover,19,5,12,1,2,5,16,13,0,1,0,0,2,0,H
Karlsruhe,Darmstadt,14,15,7,7,7,5,17,12,3,1,1,0,2,1,A
Wurzburger Kickers,Bochum,12,9,5,4,3,8,13,21,2,6,0,0,2,2,A
Heidenheim,Wurzburger Kickers,17,13,9,3,7,0,17,19,1,3,0,0,1,0,H
Sandhausen,Braunschweig,14,9,10,4,5,7,16,15,2,2,0,0,2,0,D
Bochum,Greuther Furth,11,13,1,6,5,4,17,14,1,3,0,0,0,2,A
