HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Lugo,Extremadura UD,10,13,3,3,5,9,11,15,1,1,0,0,0,0,D
Santander,Malaga,11,5,2,4,6,4,14,14,3,2,1,0,0,0,A
Almeria,Albacete,13,2,5,0,7,0,21,19,1,1,0,0,0,0,H
Elche,Fuenlabrada,5,10,1,4,4,5,14,26,2,3,0,0,0,2,A
Vallecano,Mirandes,15,11,6,3,7,3,11,11,2,4,1,1,2,1,D
Zaragoza,Tenerife,15,16,8,5,1,4,16,18,1,3,0,1,1,0,H
La Coruna,Oviedo,12,14,5,4,2,7,13,19,0,3,0,0,1,0,H
Numancia,Alcorcon,6,12,1,6,6,3,19,19,2,6,0,0,0,0,A
Girona,Sp Gijon,21,10,6,5,4,5,11,12,2,1,0,1,0,0,D
Cadiz,Ponferradina,11,6,3,2,6,4,18,17,1,2,0,1,0,1,H
Las Palmas,Huesca,9,9,1,6,7,3,14,19,3,3,0,0,0,0,A
Albacete,Girona,6,11,1,1,4,3,16,16,3,2,0,0,0,0,H
Oviedo,Lugo,12,24,5,9,4,10,12,13,2,5,1,1,1,0,D
Santander,Almeria,8,14,2,5,3,3,14,22,2,2,0,0,1,0,D
Mirandes,Cadiz,9,14,1,5,6,3,13,15,4,1,1,0,0,0,A
Alcorcon,Elche,20,4,7,3,10,4,18,21,5,1,1,0,1,0,A
Malaga,Las Palmas,12,12,3,2,9,3,15,14,1,4,0,0,0,0,D
Ponferradina,Zaragoza,14,8,4,3,2,4,10,15,2,1,0,0,0,0,D
Sp Gijon,Vallecano,3,19,2,4,1,5,21,18,5,5,1,1,1,0,D
Huesca,La Coruna,10,8,6,1,1,2,14,20,1,2,0,0,2,0,H
Tenerife,Numancia,10,11,4,5,5,4,15,8,3,0,0,0,1,0,H
Extremadura UD,Fuenlabrada,13,15,4,6,3,4,10,12,1,4,0,0,0,1,A
Zaragoza,Elche,19,3,5,1,6,3,15,12,4,1,0,0,0,0,H
Fuenlabrada,Oviedo,13,9,5,5,7,5,20,12,0,1,0,1,1,1,H
Numancia,Mirandes,16,10,5,2,6,1,15,13,2,0,0,0,0,0,H
Almeria,Huesca,12,9,5,1,6,6,18,13,2,2,0,0,1,0,H
Las Palmas,Santander,13,7,5,3,9,0,18,21,5,3,1,0,0,1,D
Lugo,Alcorcon,18,12,7,8,11,3,9,12,2,3,0,0,1,2,A
Sp Gijon,Albacete,14,8,5,2,3,3,26,19,2,3,0,0,0,0,H
Vallecano,La Coruna,8,8,4,3,5,8,18,9,1,1,0,0,2,1,H
Girona,Malaga,9,10,2,1,3,5,16,13,3,3,0,0,1,0,H
Ponferradina,Tenerife,11,9,5,2,5,6,11,11,2,3,0,0,1,0,H
Cadiz,Extremadura UD,19,6,5,2,14,4,17,21,3,2,0,0,1,0,H
Santander,Cadiz,16,12,5,5,3,1,16,19,3,4,1,0,0,1,A
La Coruna,Albacete,17,11,7,1,3,1,14,17,1,5,0,1,0,0,A
Malaga,Almeria,13,14,4,4,4,3,15,13,4,4,0,0,0,1,A
Extremadura UD,Numancia,22,5,8,1,12,5,18,19,1,4,0,2,0,0,D
Fuenlabrada,Ponferradina,19,3,3,2,7,2,11,21,2,2,0,0,0,1,D
Tenerife,Las Palmas,9,10,2,2,6,4,15,10,2,5,1,0,0,0,D
Huesca,Sp Gijon,6,12,3,4,2,1,18,14,3,3,0,1,0,0,H
Girona,Vallecano,17,13,8,5,4,4,10,17,1,4,0,0,1,0,H
Elche,Lugo,13,5,4,4,1,3,18,23,3,3,0,0,1,0,D
Mirandes,Oviedo,18,7,6,1,9,4,14,12,1,1,0,1,1,1,H
Alcorcon,Zaragoza,8,16,3,5,8,9,13,11,1,2,0,0,0,2,A
Vallecano,Santander,20,4,4,0,12,3,21,16,4,2,1,1,1,0,H
Mirandes,Malaga,15,9,4,1,6,4,10,16,2,3,0,0,0,0,D
Numancia,Huesca,8,13,3,4,2,10,18,14,2,3,0,0,0,0,H
Las Palmas,Almeria,9,10,0,6,4,5,11,26,3,4,0,0,0,1,A
Cadiz,Girona,8,10,1,1,3,3,16,7,3,2,0,1,1,0,H
Ponferradina,Alcorcon,17,8,6,3,5,5,12,25,1,5,0,2,1,0,D
Albacete,Tenerife,7,14,4,7,3,3,20,25,6,3,0,0,0,2,A
Oviedo,Elche,9,7,2,3,6,4,28,25,2,2,2,0,0,1,A
Zaragoza,Extremadura UD,16,17,9,5,6,5,14,9,1,1,0,0,1,0,H
Lugo,Fuenlabrada,8,17,3,4,6,6,10,13,1,4,0,0,2,0,H
Sp Gijon,La Coruna,7,12,4,3,1,3,21,21,4,4,0,0,1,0,D
Almeria,Girona,17,7,7,1,1,4,18,14,3,4,0,1,1,0,H
Malaga,Vallecano,11,14,2,3,4,6,14,13,2,2,0,0,1,0,D
Santander,Mirandes,17,11,8,2,5,4,17,20,1,4,0,1,2,0,H
Alcorcon,Cadiz,13,3,7,1,3,4,15,19,5,6,0,3,1,0,H
Huesca,Albacete,20,7,6,2,10,1,13,23,1,7,0,0,0,1,A
Lugo,Ponferradina,10,12,5,4,2,8,13,17,2,4,0,0,2,0,D
La Coruna,Numancia,17,12,4,4,5,5,15,18,3,0,1,0,0,1,D
Elche,Tenerife,9,8,2,2,4,5,15,16,2,0,0,0,1,0,D
Oviedo,Extremadura UD,14,13,5,3,7,3,15,16,3,4,0,0,0,0,D
Las Palmas,Sp Gijon,9,6,5,2,7,4,19,20,4,5,0,0,0,0,H
Mirandes,Alcorcon,16,9,4,2,7,3,20,8,3,4,0,0,2,1,D
Cadiz,La Coruna,14,7,4,3,12,0,9,25,2,2,0,0,0,0,D
Zaragoza,Lugo,25,5,4,2,8,3,11,12,1,4,0,0,0,0,D
Vallecano,Almeria,14,4,5,1,8,0,11,24,1,1,0,0,0,0,D
Albacete,Malaga,6,14,3,5,2,7,12,14,2,2,0,0,0,0,H
Ponferradina,Oviedo,12,8,2,5,3,4,22,20,2,3,0,0,0,0,H
Girona,Las Palmas,10,12,3,4,3,6,18,13,2,1,0,0,0,0,H
Numancia,Elche,17,10,4,6,3,7,14,19,1,2,1,0,1,1,D
Sp Gijon,Santander,14,8,4,3,4,8,21,17,5,2,0,0,1,0,D
Extremadura UD,Huesca,17,11,8,3,10,5,11,19,1,4,0,0,0,1,A
Tenerife,Fuenlabrada,15,11,1,4,8,5,20,12,5,2,1,0,0,0,A
Las Palmas,Albacete,10,7,4,4,5,3,24,15,4,4,0,0,2,0,H
Fuenlabrada,Vallecano,12,12,5,4,7,4,12,17,1,6,0,0,0,1,D
Alcorcon,Extremadura UD,14,11,3,4,4,5,19,19,3,3,1,0,0,0,A
Huesca,Girona,18,7,8,0,5,6,8,17,2,5,0,0,1,0,H
Elche,Ponferradina,10,8,2,4,9,0,28,18,5,3,0,0,1,0,H
Santander,Numancia,13,12,4,2,5,6,16,16,2,2,0,0,0,0,D
Malaga,Sp Gijon,14,8,4,5,13,3,20,16,2,1,0,0,0,0,D
Almeria,Cadiz,7,10,3,3,1,6,20,16,2,3,0,1,0,0,A
Oviedo,Zaragoza,15,13,5,4,6,5,12,17,4,3,0,0,1,1,D
