HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Huesca,Eibar,5,11,3,5,4,3,10,16,1,1,0,0,1,0,H
Zaragoza,Ibiza,11,10,0,2,1,6,11,16,2,2,0,0,0,0,D
Sociedad B,Leganes,9,10,4,3,4,1,11,17,2,2,0,0,0,0,H
Girona,Amorebieta,10,13,3,2,4,1,18,14,3,2,0,0,0,0,H
Ponferradina,Alcorcon,6,10,2,3,3,7,13,11,2,2,0,1,0,0,H
Sp Gijon,Burgos,14,12,2,4,0,5,9,8,1,1,0,0,0,0,H
Oviedo,Lugo,10,10,6,6,2,1,13,14,4,3,0,0,2,0,D
Fuenlabrada,Tenerife,12,12,4,7,5,4,9,18,1,2,0,0,0,1,A
Las Palmas,Valladolid,12,16,3,4,2,3,22,18,2,4,1,0,0,0,D
Malaga,Mirandes,22,5,5,2,7,8,13,10,1,2,0,0,0,0,D
Cartagena,Almeria,10,20,4,9,6,3,17,16,2,2,0,0,0,2,A
Valladolid,Zaragoza,11,12,2,2,3,4,15,11,3,4,0,0,1,0,H
Almeria,Oviedo,14,4,4,1,4,3,11,16,1,3,0,0,2,1,H
Lugo,Sociedad B,9,12,1,1,6,5,15,10,1,1,0,0,0,0,D
Tenerife,Sp Gijon,14,7,5,1,5,3,12,15,1,0,0,0,0,0,D
Alcorcon,Fuenlabrada,16,11,5,5,3,1,13,11,0,0,0,0,0,0,A
Ibiza,Malaga,11,7,2,3,5,1,16,12,1,2,0,0,1,0,D
Eibar,Ponferradina,20,4,10,3,10,1,11,14,4,1,0,1,0,0,A
Girona,Las Palmas,7,4,1,0,6,1,18,15,3,6,0,0,0,0,D
Huesca,Cartagena,19,8,6,3,6,2,14,19,1,2,0,0,0,0,H
Mirandes,Amorebieta,14,15,7,5,6,2,8,16,0,2,0,0,0,0,H
Leganes,Burgos,24,5,6,1,4,0,12,9,0,1,0,1,0,0,D
Las Palmas,Huesca,10,15,5,5,1,7,13,14,2,1,0,0,2,0,H
Malaga,Alcorcon,18,11,7,3,6,2,26,14,3,4,1,0,1,0,H
Sp Gijon,Mirandes,20,5,7,3,7,2,18,14,3,2,0,0,1,0,H
