HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Celta,Ath Bilbao,13,6,2,2,6,4,8,20,0,5,0,0,0,0,H
Valladolid,Ath Madrid,5,9,1,1,3,4,15,14,6,4,0,0,0,0,D
Sociedad,Getafe,6,13,3,4,3,8,20,15,2,4,1,0,1,0,A
Barcelona,Sevilla,15,16,8,4,7,10,10,12,5,3,2,0,3,0,H
Granada,Osasuna,6,9,2,4,2,7,12,17,2,8,0,1,1,0,H
Eibar,Barcelona,5,9,0,4,2,2,16,14,5,0,0,0,0,1,A
Ath Madrid,Valencia,15,11,4,3,2,4,18,12,2,1,0,1,1,0,D
Getafe,Leganes,5,7,2,3,2,3,17,19,1,4,0,0,0,0,H
Mallorca,Real Madrid,5,13,1,4,4,4,20,14,2,2,0,1,1,0,H
Alaves,Celta,12,14,5,2,4,6,20,5,5,1,0,0,0,0,H
Sociedad,Betis,18,12,6,5,11,2,23,12,4,2,0,0,2,1,H
Espanol,Villarreal,18,11,3,5,7,3,11,14,2,1,0,0,0,1,A
Ath Bilbao,Valladolid,19,9,7,3,3,4,12,9,2,3,0,0,1,0,D
Sevilla,Levante,19,12,5,5,9,1,10,11,2,2,0,0,0,0,H
Villarreal,Alaves,19,12,8,3,5,4,12,13,2,2,0,0,1,0,H
Leganes,Mallorca,9,9,3,1,4,5,19,13,4,1,0,0,1,0,H
Valladolid,Eibar,8,13,4,3,4,3,13,13,1,2,0,0,2,0,H
Ath Madrid,Ath Bilbao,9,9,2,2,7,7,14,9,2,2,0,0,1,0,H
Celta,Sociedad,9,9,1,4,3,7,20,12,5,2,1,0,0,0,A
Granada,Betis,13,12,3,0,4,2,13,8,3,4,0,0,0,0,H
Levante,Espanol,7,14,3,3,4,7,10,26,2,3,0,0,0,1,A
Sevilla,Getafe,15,9,8,4,5,0,13,18,2,3,0,0,0,0,H
Osasuna,Valencia,21,2,13,1,6,1,8,6,1,1,0,1,1,1,H
Alaves,Ath Madrid,11,9,3,3,4,1,23,16,3,3,0,0,0,0,D
Barcelona,Valladolid,18,9,9,1,6,3,9,14,0,3,0,0,3,1,H
Sociedad,Levante,17,13,5,4,9,5,15,12,3,4,0,0,0,2,A
Valencia,Sevilla,10,10,3,1,6,1,12,17,6,3,0,0,0,1,D
Ath Bilbao,Espanol,7,12,5,5,2,5,13,20,0,1,0,0,2,0,H
Betis,Celta,11,18,7,5,5,10,16,17,6,1,0,0,1,0,H
Real Madrid,Leganes,22,5,11,3,8,3,12,12,1,5,0,0,3,0,H
Eibar,Villarreal,25,9,8,2,8,3,11,12,0,3,0,0,0,0,H
Mallorca,Osasuna,11,12,3,4,5,3,9,10,1,5,0,0,1,0,D
Getafe,Granada,8,10,3,2,2,3,22,11,5,5,0,0,2,0,H
Espanol,Valencia,13,11,4,4,5,5,20,14,0,1,0,0,1,0,A
Levante,Barcelona,9,9,3,6,2,3,9,13,1,6,0,0,0,1,H
Sevilla,Ath Madrid,11,14,4,5,6,3,13,16,4,3,0,0,1,0,D
Real Madrid,Betis,22,13,7,3,9,4,11,17,2,4,0,0,0,0,D
Valladolid,Mallorca,12,14,6,1,2,6,15,20,5,4,0,0,1,0,H
Villarreal,Ath Bilbao,11,12,7,2,8,10,10,8,2,0,0,0,0,0,D
Osasuna,Alaves,19,11,6,3,5,1,13,17,4,2,0,0,3,1,H
Celta,Getafe,6,9,2,5,4,4,6,19,3,3,0,0,0,1,A
Leganes,Eibar,12,7,5,4,4,2,16,20,5,2,0,0,1,1,A
Granada,Sociedad,5,9,3,5,4,5,15,19,0,2,0,0,1,1,A
Sociedad,Leganes,11,6,5,2,5,1,14,23,2,6,0,1,0,0,D
Alaves,Valladolid,14,7,5,1,6,7,21,16,3,3,0,0,2,0,H
Valencia,Granada,12,13,4,1,7,4,11,15,0,5,0,0,0,0,H
Eibar,Real Madrid,14,10,1,5,6,6,9,8,0,0,0,0,0,3,A
Barcelona,Celta,10,6,7,5,2,2,18,14,4,1,0,0,2,1,H
Mallorca,Villarreal,5,22,3,6,2,5,18,17,2,3,0,0,2,0,H
Ath Bilbao,Levante,23,8,10,2,10,2,13,13,3,2,0,0,0,1,H
Ath Madrid,Espanol,18,10,5,1,9,2,12,15,2,2,0,0,1,1,H
Getafe,Osasuna,14,4,5,1,9,5,15,16,2,4,0,0,0,0,D
Betis,Sevilla,18,10,5,6,4,4,12,21,2,3,0,0,1,1,A
Levante,Mallorca,13,14,6,7,3,6,13,9,2,1,1,0,0,0,H
Leganes,Barcelona,9,11,4,6,0,6,11,10,1,2,0,0,1,0,A
Betis,Valencia,25,9,8,3,5,4,9,13,2,2,0,0,1,1,H
Granada,Ath Madrid,9,17,3,6,2,8,15,17,4,3,0,0,0,0,D
Real Madrid,Sociedad,18,11,10,6,4,3,13,16,1,1,0,0,1,1,H
Espanol,Getafe,6,11,2,2,3,3,23,12,3,4,0,0,1,1,D
Osasuna,Ath Bilbao,12,6,7,4,6,2,15,18,4,3,0,0,0,1,A
Eibar,Alaves,18,7,7,5,10,4,10,11,1,2,0,0,0,0,A
Villarreal,Celta,15,11,1,7,8,2,12,9,3,2,0,0,0,0,A
Valladolid,Sevilla,7,4,1,2,8,4,13,25,3,4,0,1,0,1,A
Celta,Valladolid,13,9,5,2,11,3,11,17,1,3,0,0,0,0,D
Alaves,Real Madrid,8,12,2,6,9,4,18,11,4,3,0,0,0,0,A
Sociedad,Eibar,15,10,4,4,6,4,8,12,1,4,0,0,1,1,H
Mallorca,Betis,16,15,7,3,6,5,16,15,3,4,1,0,0,2,A
Valencia,Villarreal,13,24,7,7,6,4,8,17,1,2,0,0,0,0,H
Sevilla,Leganes,16,8,8,4,7,4,16,7,3,3,0,0,0,0,H
Ath Bilbao,Granada,14,8,6,1,4,3,18,16,5,4,0,0,1,0,H
Espanol,Osasuna,12,14,5,8,2,3,12,16,1,4,0,1,1,0,A
Getafe,Levante,13,7,9,2,6,7,22,14,2,3,0,0,0,0,H
Ath Madrid,Barcelona,17,13,2,5,9,5,12,11,4,4,0,0,0,0,A
Villarreal,Ath Madrid,23,18,3,3,11,6,11,11,2,1,0,0,0,0,D
Real Madrid,Espanol,18,6,8,2,5,3,15,13,4,3,1,0,1,0,H
Granada,Alaves,13,5,3,1,6,2,16,17,1,4,0,2,0,0,H
Levante,Valencia,17,10,6,6,5,1,14,14,5,2,1,0,2,1,A
Barcelona,Mallorca,25,9,17,3,8,4,15,10,3,0,0,0,4,1,H
Eibar,Getafe,6,6,3,3,3,8,16,15,5,1,1,0,0,0,A
Betis,Ath Bilbao,10,8,6,2,3,3,12,15,2,4,0,0,3,1,H
Valladolid,Sociedad,4,16,2,2,1,4,10,19,0,4,0,0,0,0,D
Leganes,Celta,15,9,8,4,3,5,14,11,3,3,0,1,2,0,H
Osasuna,Sevilla,10,13,1,4,2,6,22,10,4,4,1,0,1,1,D
Alaves,Leganes,10,3,3,1,2,0,14,17,2,3,0,0,0,1,D
Granada,Levante,18,13,4,6,8,6,14,12,4,3,0,0,0,0,A
Sociedad,Barcelona,19,9,5,5,8,5,7,8,0,1,0,0,1,1,D
Ath Bilbao,Eibar,8,8,3,2,6,7,7,12,3,3,0,0,0,0,D
Ath Madrid,Osasuna,19,15,9,3,6,5,16,10,2,1,0,0,0,0,H
Getafe,Valladolid,7,10,3,3,4,3,28,10,3,3,0,0,1,0,H
Celta,Mallorca,18,8,7,2,3,3,14,16,3,5,0,1,1,1,D
Espanol,Betis,16,10,4,5,7,5,26,13,4,1,0,0,2,1,D
Sevilla,Villarreal,24,9,5,3,14,2,12,11,2,0,0,0,0,1,A
Valencia,Real Madrid,9,19,6,6,1,2,11,15,1,2,0,0,0,0,D
Barcelona,Real Madrid,9,17,2,4,2,6,5,17,3,5,0,0,0,0,D
Eibar,Granada,21,12,7,1,5,5,17,13,3,3,0,0,2,0,H
Mallorca,Sevilla,8,13,1,6,3,6,15,12,6,3,0,0,0,1,A
Barcelona,Alaves,8,5,4,3,3,4,10,11,2,4,0,0,2,0,H
Villarreal,Getafe,11,7,4,0,2,5,8,18,2,5,0,1,0,0,H
Valladolid,Valencia,14,5,6,2,5,4,10,12,0,3,0,0,0,0,D
Leganes,Espanol,11,9,5,3,1,5,11,15,1,6,0,0,1,0,H
Osasuna,Sociedad,19,13,7,7,8,3,11,12,6,2,1,0,1,3,A
Betis,Ath Madrid,15,8,2,5,5,3,11,14,4,3,0,0,0,0,A
Levante,Celta,13,12,7,5,8,7,8,15,3,6,0,0,0,1,H
Real Madrid,Ath Bilbao,20,8,8,2,6,4,8,14,1,0,0,0,0,0,D
Valladolid,Leganes,14,12,5,5,4,3,16,13,3,2,0,0,1,2,D
Sevilla,Ath Bilbao,9,6,2,1,9,1,16,20,2,4,0,0,0,1,D
Valencia,Eibar,9,10,1,3,6,5,13,20,1,3,0,1,1,0,H
Getafe,Real Madrid,15,10,4,8,7,4,20,14,3,2,0,0,0,1,A
Ath Madrid,Levante,17,6,8,3,5,5,9,10,1,3,0,0,2,1,H
Espanol,Barcelona,8,14,3,7,4,5,17,11,2,2,0,1,1,0,D
Granada,Mallorca,7,17,4,5,3,4,23,11,5,1,0,0,1,0,H
Sociedad,Villarreal,10,14,2,2,7,2,16,14,5,4,0,0,1,0,A
Alaves,Betis,6,10,1,3,3,6,18,15,7,3,0,1,1,0,D
Celta,Osasuna,20,8,7,1,6,1,14,19,4,3,0,0,0,0,D
Leganes,Getafe,8,8,2,4,4,4,22,18,6,4,0,0,0,3,A
Levante,Alaves,20,14,3,6,7,6,12,20,2,4,0,0,0,0,A
Real Madrid,Sevilla,13,8,4,3,2,4,17,12,3,1,0,0,0,0,H
Osasuna,Valladolid,21,5,5,3,9,1,16,10,2,2,0,0,0,0,D
Eibar,Ath Madrid,9,12,4,4,6,7,16,14,1,2,0,0,1,0,H
Mallorca,Valencia,13,8,6,1,1,6,18,11,4,4,0,1,3,0,H
Betis,Sociedad,14,7,6,0,6,2,8,10,3,1,0,0,2,0,H
Villarreal,Espanol,21,16,5,5,4,4,15,18,1,3,0,1,0,1,A
Ath Bilbao,Celta,22,7,6,3,13,0,18,12,4,3,0,0,0,0,D
