HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
La Coruna,Malaga,8.0,5.0,2.0,3.0,6.0,3.0,9.0,20.0,0.0,5.0,1.0,0.0,0.0,0.0,D
Oviedo,Albacete,10.0,6.0,3.0,1.0,7.0,3.0,18.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0,H
Reus Deportiu,Granada,10.0,15.0,4.0,7.0,3.0,0.0,12.0,15.0,2.0,3.0,0.0,0.0,0.0,1.0,A
Rayo Majadahonda,Sp Gijon,9.0,14.0,3.0,4.0,2.0,6.0,16.0,17.0,7.0,3.0,0.0,0.0,1.0,0.0,H
Zaragoza,Osasuna,9.0,13.0,3.0,4.0,5.0,8.0,14.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,D
Extremadura UD,Cadiz,9.0,12.0,3.0,2.0,3.0,4.0,21.0,16.0,7.0,7.0,0.0,0.0,0.0,1.0,H
La Coruna,Elche,19.0,6.0,9.0,1.0,3.0,2.0,5.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,H
Malaga,Albacete,16.0,9.0,5.0,2.0,8.0,3.0,25.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,H
Almeria,Las Palmas,20.0,6.0,7.0,1.0,4.0,1.0,18.0,14.0,1.0,3.0,0.0,0.0,1.0,0.0,H
Numancia,Zaragoza,15.0,6.0,4.0,1.0,9.0,4.0,15.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,H
Osasuna,Cordoba,15.0,9.0,4.0,2.0,6.0,2.0,15.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,H
Sp Gijon,Reus Deportiu,18.0,4.0,5.0,2.0,13.0,2.0,19.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,D
Granada,Mallorca,10.0,13.0,2.0,4.0,8.0,3.0,14.0,9.0,2.0,4.0,0.0,0.0,1.0,0.0,H
Rayo Majadahonda,Oviedo,14.0,11.0,4.0,3.0,4.0,4.0,7.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,H
Tenerife,Lugo,20.0,10.0,1.0,3.0,7.0,3.0,12.0,11.0,3.0,4.0,0.0,0.0,0.0,0.0,D
Gimnastic,Alcorcon,11.0,9.0,2.0,5.0,6.0,1.0,17.0,14.0,5.0,2.0,1.0,0.0,0.0,3.0,A
Elche,Malaga,9.0,13.0,2.0,5.0,3.0,9.0,19.0,17.0,3.0,1.0,0.0,0.0,1.0,0.0,H
Alcorcon,Granada,10.0,12.0,4.0,4.0,5.0,10.0,13.0,18.0,2.0,4.0,0.0,1.0,0.0,0.0,H
Cordoba,La Coruna,22.0,5.0,8.0,2.0,12.0,2.0,14.0,13.0,3.0,4.0,0.0,2.0,0.0,1.0,D
Las Palmas,Numancia,15.0,9.0,9.0,1.0,2.0,8.0,15.0,12.0,4.0,5.0,0.0,1.0,2.0,0.0,H
Oviedo,Osasuna,11.0,5.0,2.0,1.0,6.0,2.0,14.0,18.0,2.0,4.0,0.0,1.0,0.0,1.0,H
Albacete,Almeria,9.0,17.0,3.0,6.0,4.0,5.0,11.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0,D
Cadiz,Sp Gijon,17.0,6.0,6.0,4.0,7.0,5.0,12.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,D
Lugo,Gimnastic,15.0,18.0,3.0,4.0,5.0,4.0,15.0,15.0,6.0,2.0,0.0,0.0,1.0,0.0,H
Mallorca,Extremadura UD,13.0,9.0,3.0,4.0,5.0,3.0,17.0,18.0,4.0,7.0,1.0,1.0,0.0,0.0,D
Reus Deportiu,Rayo Majadahonda,11.0,12.0,4.0,1.0,7.0,5.0,11.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,H
Zaragoza,Tenerife,11.0,8.0,2.0,2.0,5.0,1.0,12.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,D
Sp Gijon,Cordoba,8.0,15.0,3.0,7.0,6.0,8.0,11.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,D
Granada,Almeria,8.0,9.0,4.0,2.0,8.0,6.0,18.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,H
La Coruna,Reus Deportiu,16.0,12.0,3.0,3.0,5.0,4.0,13.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,H
Lugo,Cadiz,5.0,9.0,1.0,3.0,4.0,1.0,11.0,12.0,2.0,4.0,0.0,0.0,1.0,1.0,A
Mallorca,Las Palmas,12.0,14.0,4.0,7.0,6.0,3.0,9.0,17.0,3.0,5.0,0.0,0.0,2.0,2.0,D
Tenerife,Alcorcon,15.0,7.0,6.0,3.0,9.0,2.0,14.0,13.0,6.0,2.0,0.0,0.0,0.0,2.0,H
Elche,Zaragoza,9.0,15.0,3.0,2.0,3.0,4.0,14.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,H
Extremadura UD,Albacete,11.0,10.0,2.0,6.0,6.0,4.0,16.0,14.0,2.0,3.0,0.0,0.0,1.0,1.0,A
Gimnastic,Oviedo,10.0,9.0,5.0,5.0,5.0,5.0,19.0,16.0,4.0,5.0,0.0,1.0,1.0,0.0,H
Rayo Majadahonda,Osasuna,7.0,12.0,2.0,1.0,2.0,3.0,14.0,15.0,2.0,5.0,0.0,0.0,0.0,0.0,D
Malaga,Numancia,9.0,8.0,6.0,3.0,6.0,2.0,16.0,14.0,1.0,3.0,0.0,0.0,1.0,0.0,H
Albacete,Gimnastic,16.0,8.0,10.0,4.0,4.0,4.0,10.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,H
Cordoba,Extremadura UD,14.0,11.0,8.0,4.0,4.0,6.0,9.0,23.0,2.0,8.0,1.0,1.0,1.0,1.0,H
Las Palmas,La Coruna,9.0,12.0,1.0,5.0,1.0,8.0,19.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,D
Numancia,Tenerife,17.0,16.0,9.0,6.0,6.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,H
Osasuna,Malaga,18.0,5.0,6.0,3.0,3.0,1.0,9.0,20.0,1.0,8.0,1.0,2.0,0.0,1.0,H
Reus Deportiu,Lugo,4.0,13.0,1.0,3.0,3.0,4.0,25.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,D
Alcorcon,Rayo Majadahonda,7.0,9.0,2.0,2.0,7.0,4.0,17.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,H
Almeria,Sp Gijon,12.0,8.0,5.0,4.0,4.0,5.0,5.0,11.0,2.0,2.0,0.0,0.0,1.0,1.0,H
Cadiz,Elche,13.0,11.0,7.0,4.0,9.0,4.0,14.0,20.0,2.0,6.0,0.0,0.0,0.0,1.0,H
Oviedo,Mallorca,21.0,4.0,3.0,1.0,12.0,5.0,13.0,13.0,3.0,2.0,0.0,0.0,1.0,0.0,D
Zaragoza,Granada,12.0,10.0,4.0,5.0,6.0,3.0,21.0,8.0,3.0,2.0,1.0,0.0,0.0,2.0,A
Cadiz,Reus Deportiu,14.0,1.0,7.0,0.0,4.0,3.0,20.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,H
Elche,Las Palmas,15.0,10.0,6.0,1.0,7.0,1.0,21.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,D
Extremadura UD,Osasuna,11.0,11.0,5.0,2.0,3.0,3.0,23.0,15.0,5.0,4.0,0.0,1.0,2.0,1.0,A
La Coruna,Oviedo,14.0,13.0,6.0,3.0,3.0,3.0,18.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,H
Lugo,Alcorcon,10.0,6.0,3.0,1.0,6.0,3.0,19.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,A
