HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Eibar,Celta,8,6,1,3,3,3,17,13,4,4,1,0,0,0,D
Granada,Ath Bilbao,4,9,2,2,1,2,8,10,3,4,0,0,0,0,H
Cadiz,Osasuna,12,6,3,4,6,2,14,21,2,2,0,0,0,1,A
Alaves,Betis,7,11,2,4,6,4,19,17,3,3,0,0,0,0,A
Valladolid,Sociedad,8,8,3,2,5,3,15,17,4,1,0,0,1,0,D
Villarreal,Huesca,15,10,4,3,6,6,10,22,1,1,0,0,0,1,D
Valencia,Levante,14,19,8,8,3,4,9,14,1,3,0,0,2,2,H
Villarreal,Eibar,14,12,8,4,4,3,5,12,1,1,0,0,0,0,H
Getafe,Osasuna,7,10,1,3,4,1,19,13,4,2,0,0,0,0,H
Celta,Valencia,23,9,6,3,6,6,12,13,3,1,0,0,1,0,H
Huesca,Cadiz,4,6,0,4,2,1,18,23,3,3,0,0,0,1,A
Betis,Valladolid,16,9,6,2,5,3,18,10,3,0,0,0,2,0,H
Granada,Alaves,10,5,3,3,4,4,9,12,0,3,0,0,1,1,H
Sociedad,Real Madrid,6,16,1,4,1,11,17,12,2,2,0,0,0,0,D
Alaves,Getafe,9,11,0,4,1,5,13,13,2,2,0,0,0,0,D
Valencia,Huesca,5,17,2,4,4,4,14,20,0,1,0,0,1,0,D
Elche,Sociedad,5,27,2,7,2,11,11,12,3,1,0,0,0,0,A
Betis,Real Madrid,15,11,5,4,8,3,9,10,5,2,1,0,2,1,A
Osasuna,Levante,9,11,4,5,3,7,15,16,2,0,0,0,1,1,A
Eibar,Ath Bilbao,7,9,1,5,5,4,15,12,1,0,0,0,0,1,A
Ath Madrid,Granada,17,11,10,6,1,1,16,14,3,1,0,0,1,0,H
Cadiz,Sevilla,12,14,5,5,6,5,9,14,4,2,0,0,0,0,A
Valladolid,Celta,10,5,4,1,4,1,26,18,3,4,0,0,0,1,D
Barcelona,Villarreal,17,5,9,1,8,4,9,10,0,1,0,0,4,0,H
Sociedad,Valencia,11,9,3,5,9,3,16,15,1,5,0,0,0,0,A
Getafe,Betis,8,10,4,2,1,4,15,17,4,4,0,1,3,0,H
Huesca,Ath Madrid,9,16,3,2,5,7,13,10,1,0,0,0,0,0,D
Villarreal,Alaves,10,8,6,3,2,0,11,13,0,2,0,0,2,1,H
Eibar,Elche,12,5,4,2,3,2,9,14,2,2,0,0,0,1,A
Real Madrid,Valladolid,15,11,5,5,4,7,11,7,2,1,0,0,0,0,H
Ath Bilbao,Cadiz,13,3,4,1,5,2,15,16,3,5,0,2,0,0,A
Sevilla,Levante,16,3,2,1,2,4,14,17,5,2,0,0,0,0,H
Celta,Barcelona,10,6,3,3,3,7,22,10,5,5,0,1,0,1,A
Valladolid,Eibar,9,11,3,5,3,4,11,21,2,3,0,1,1,1,A
Ath Madrid,Villarreal,14,6,1,2,9,1,11,7,1,2,0,0,0,0,D
Elche,Huesca,2,18,0,4,0,5,8,26,0,2,0,0,0,0,D
Sociedad,Getafe,11,5,6,1,5,4,21,13,3,3,0,0,1,0,H
Valencia,Betis,5,17,2,8,4,7,11,14,2,2,0,0,0,1,A
Osasuna,Celta,14,9,5,3,6,5,19,10,3,3,0,0,1,0,H
Alaves,Ath Bilbao,8,8,3,0,0,6,20,17,2,3,1,0,0,0,H
Levante,Real Madrid,11,13,4,3,4,6,14,8,2,1,0,0,0,1,A
Cadiz,Granada,14,13,4,5,2,5,16,16,2,2,0,0,0,1,D
Barcelona,Sevilla,12,13,5,1,6,5,11,18,1,1,0,0,1,1,D
Granada,Sevilla,13,8,3,3,5,1,16,11,4,4,0,1,0,0,H
Celta,Ath Madrid,15,9,5,4,8,4,16,18,3,4,0,0,0,1,A
Real Madrid,Cadiz,14,14,2,5,4,11,7,5,2,0,0,0,0,1,A
Getafe,Barcelona,9,7,4,1,7,2,20,10,4,3,0,0,0,0,H
Eibar,Osasuna,10,8,6,2,6,7,14,14,2,3,0,1,0,0,D
Ath Bilbao,Levante,14,6,5,1,9,3,11,10,3,1,0,0,0,0,H
Villarreal,Valencia,16,11,6,3,3,7,13,8,4,1,1,0,1,1,H
Alaves,Elche,13,7,2,3,2,6,11,11,2,5,0,0,0,1,A
Huesca,Valladolid,12,5,7,3,3,1,14,24,1,2,0,0,0,1,D
Betis,Sociedad,7,8,1,5,6,2,11,18,2,1,0,0,0,1,A
Elche,Valencia,3,14,2,4,0,7,15,8,3,2,0,0,2,0,H
Barcelona,Real Madrid,10,15,4,9,7,7,11,13,3,2,0,0,1,1,A
Osasuna,Ath Bilbao,7,13,2,5,2,5,18,10,3,2,0,0,0,0,H
Sevilla,Eibar,21,3,3,1,13,3,11,12,0,3,0,0,0,1,A
Ath Madrid,Betis,13,12,6,3,8,5,19,12,2,0,0,1,0,0,H
Valladolid,Alaves,5,14,1,4,2,4,9,7,1,0,1,0,0,0,A
Cadiz,Villarreal,5,7,0,2,0,5,15,7,2,2,0,0,0,0,D
Getafe,Granada,10,5,1,2,6,1,19,23,4,2,0,0,0,1,A
Sociedad,Huesca,13,6,6,4,4,5,12,11,2,1,0,0,1,0,H
Levante,Celta,10,10,3,3,3,2,11,19,2,2,0,0,0,0,D
Eibar,Cadiz,9,6,3,4,7,2,10,10,1,1,0,0,0,2,A
Real Madrid,Huesca,13,9,6,2,6,3,16,9,0,2,0,0,2,0,H
Ath Bilbao,Sevilla,16,7,5,3,6,1,17,19,5,5,0,0,0,1,H
Osasuna,Ath Madrid,8,11,3,6,3,2,12,10,1,2,0,0,0,1,A
Alaves,Barcelona,4,25,3,9,2,14,16,4,4,3,1,0,1,0,D
Betis,Elche,17,4,10,2,1,1,13,12,2,1,0,0,2,0,H
Celta,Sociedad,9,9,2,7,2,3,19,16,2,5,1,0,0,2,A
Granada,Levante,5,19,2,4,2,8,7,14,2,3,1,0,1,1,D
Valencia,Getafe,11,16,5,5,0,3,18,25,8,5,1,1,1,0,D
Villarreal,Valladolid,11,11,5,1,6,4,13,13,1,3,0,0,2,0,H
Elche,Celta,8,14,1,6,3,3,18,12,3,4,0,0,1,1,D
Huesca,Eibar,14,8,6,3,4,3,16,30,2,0,0,0,0,1,D
Barcelona,Betis,18,12,9,6,9,5,8,10,2,2,0,1,1,1,H
Sevilla,Osasuna,9,10,1,2,3,0,11,19,2,3,0,0,0,0,H
Ath Madrid,Cadiz,17,10,7,3,2,7,10,9,1,1,0,0,2,0,H
Getafe,Villarreal,13,9,5,5,3,3,18,11,3,4,0,0,1,2,A
Sociedad,Granada,22,2,9,1,15,0,8,11,2,1,1,0,2,0,H
Levante,Alaves,18,6,5,2,12,1,12,16,1,6,0,1,0,1,D
Valladolid,Ath Bilbao,7,17,4,2,2,11,23,11,4,2,0,0,1,0,H
