HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Sevilla,Celta,12,13,3,5,8,8,14,9,3,4,0,1,1,0,H
Valencia,Barcelona,10,10,3,5,5,2,11,6,2,2,0,0,1,1,D
Valladolid,Huesca,9,11,3,1,6,2,9,13,1,2,0,0,1,0,H
Celta,Alaves,19,9,9,2,6,2,9,12,2,3,0,0,0,0,A
Barcelona,Sevilla,23,19,9,7,5,7,10,16,0,1,0,0,2,0,H
Real Madrid,Levante,34,6,12,2,15,1,10,19,1,2,0,0,0,2,A
Valencia,Leganes,18,7,4,5,10,1,9,13,1,2,0,0,0,0,D
Villarreal,Ath Madrid,18,15,6,4,8,7,16,9,3,1,0,0,0,0,D
Betis,Valladolid,20,6,4,2,9,6,7,10,0,4,0,0,0,1,A
Eibar,Ath Bilbao,18,6,6,3,8,2,7,13,2,3,0,0,1,1,D
Huesca,Espanol,10,6,2,2,6,4,21,14,3,3,0,0,0,1,A
Vallecano,Getafe,10,5,3,2,6,2,14,25,5,5,1,0,0,0,A
Sociedad,Girona,14,12,8,2,7,6,14,15,3,1,0,0,0,0,D
Vallecano,Ath Bilbao,11,12,3,4,5,4,14,9,1,1,0,0,1,0,D
Valladolid,Espanol,15,11,2,4,5,2,16,16,4,2,0,0,0,1,D
Ath Bilbao,Valencia,13,11,2,3,5,2,25,22,2,5,0,0,0,0,D
Ath Madrid,Sociedad,14,7,4,0,10,1,10,7,2,1,0,0,1,0,H
Celta,Eibar,10,17,6,5,2,8,9,8,0,0,0,0,2,0,H
Girona,Vallecano,14,14,6,5,4,7,11,16,1,3,1,0,2,0,H
Levante,Leganes,9,21,4,6,3,2,12,14,2,2,0,0,1,0,H
Alaves,Villarreal,19,9,6,2,8,4,9,11,1,1,0,0,0,1,H
Barcelona,Real Madrid,13,15,8,4,4,2,17,14,2,2,0,0,2,0,H
Getafe,Betis,16,7,7,3,5,4,9,14,1,2,0,0,0,0,H
Sevilla,Huesca,15,11,4,2,4,2,9,14,2,3,0,0,0,0,H
Leganes,Ath Madrid,8,9,3,4,4,7,18,12,4,2,0,0,0,0,D
Real Madrid,Valladolid,16,12,7,2,8,6,14,7,1,0,0,0,0,0,H
Valencia,Girona,27,5,9,3,11,2,14,13,4,4,0,0,0,0,A
Vallecano,Barcelona,11,9,5,5,3,1,23,11,4,2,0,0,1,1,A
Betis,Celta,14,14,6,7,4,4,12,11,4,2,0,0,1,0,D
Eibar,Alaves,23,9,8,3,13,1,11,7,4,0,1,1,0,1,H
Huesca,Getafe,18,8,7,2,10,2,18,13,5,3,0,0,0,0,D
Sociedad,Sevilla,10,8,1,1,7,7,8,17,1,3,0,0,0,0,D
Villarreal,Levante,23,13,4,2,5,4,14,10,3,3,0,0,0,0,D
Espanol,Ath Bilbao,8,10,3,2,2,1,15,13,1,3,0,0,1,0,H
Levante,Sociedad,17,15,2,4,6,4,17,12,6,1,0,0,1,0,A
Ath Madrid,Ath Bilbao,9,6,3,5,12,2,8,15,5,4,0,1,0,1,H
Getafe,Valencia,17,7,3,3,6,4,23,8,3,3,1,0,0,0,A
Girona,Leganes,5,10,0,1,0,6,13,13,1,4,0,0,0,0,D
Valladolid,Eibar,9,16,1,6,4,4,16,15,2,4,0,1,0,0,D
Alaves,Huesca,13,9,5,2,5,4,20,13,3,4,0,0,1,1,H
Barcelona,Betis,20,15,5,8,10,5,13,11,4,2,1,0,0,2,A
Celta,Real Madrid,15,14,4,5,5,1,19,13,4,2,1,0,0,1,A
Sevilla,Espanol,23,15,10,7,6,3,18,10,4,2,0,0,0,1,H
Vallecano,Villarreal,15,11,7,5,8,4,7,12,1,3,0,1,1,1,D
Leganes,Alaves,13,7,6,2,5,3,10,13,2,4,0,0,1,0,H
Ath Madrid,Barcelona,3,8,1,2,2,8,19,12,5,3,0,0,0,0,D
Eibar,Real Madrid,14,9,8,3,5,4,17,8,2,1,0,0,1,0,H
Huesca,Levante,32,5,12,3,7,2,11,8,4,3,1,0,1,1,D
Valencia,Vallecano,13,13,10,3,6,5,15,14,2,4,0,1,1,0,H
