HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ponferradina,Castellon,10,9,2,3,3,5,10,12,0,0,0,0,1,1,A
Leganes,Las Palmas,12,9,6,1,2,2,15,16,2,4,0,1,0,0,H
Sp Gijon,Logrones,15,3,5,1,7,2,14,10,1,1,0,0,0,0,H
Espanol,Albacete,19,7,6,1,8,5,12,14,0,2,0,0,2,0,H
Oviedo,Cartagena,16,7,6,0,7,3,23,15,2,4,0,0,0,0,D
Mallorca,Vallecano,7,11,4,5,6,4,17,20,1,4,0,0,0,0,A
Fuenlabrada,Lugo,8,4,4,1,3,0,11,18,1,3,0,0,0,0,H
Mirandes,Alcorcon,8,6,4,3,5,3,18,9,3,1,0,0,0,0,D
Tenerife,Malaga,10,6,3,2,1,2,26,16,2,3,0,0,1,0,H
Mirandes,Oviedo,13,6,5,2,4,2,17,17,3,3,0,0,0,0,D
Alcorcon,Tenerife,9,10,4,3,3,4,13,18,0,3,0,0,0,0,H
Castellon,Malaga,8,7,1,2,3,3,15,18,3,7,0,0,0,1,A
Vallecano,Sabadell,13,7,4,2,6,1,16,17,1,3,0,0,0,1,H
Lugo,Leganes,10,13,4,3,6,4,14,10,3,2,0,0,0,1,H
Espanol,Mallorca,9,7,3,3,3,2,18,17,3,2,1,0,0,0,D
Albacete,Ponferradina,8,14,0,4,3,3,13,16,4,2,1,0,0,1,A
Cartagena,Sp Gijon,10,10,3,3,4,5,15,15,3,1,1,0,0,0,A
Las Palmas,Fuenlabrada,12,15,7,5,2,5,26,15,6,3,0,0,1,0,D
Zaragoza,Las Palmas,7,10,1,5,6,2,17,19,6,3,1,1,1,1,D
Logrones,Castellon,17,5,4,1,12,2,13,14,0,3,0,1,0,0,D
Malaga,Alcorcon,8,5,1,2,3,0,15,19,1,2,0,1,1,0,H
Sp Gijon,Girona,10,23,3,9,5,11,8,8,2,2,1,1,0,0,H
Fuenlabrada,Albacete,13,4,6,1,5,4,21,16,2,3,0,0,0,0,H
Lugo,Almeria,7,10,0,4,6,2,19,17,0,4,0,1,0,2,A
Mallorca,Sabadell,16,12,5,2,6,2,11,18,1,4,0,1,0,0,H
Oviedo,Espanol,7,5,2,2,7,4,17,12,2,0,0,0,0,0,A
Ponferradina,Vallecano,7,10,4,3,2,8,23,14,1,3,0,0,3,0,H
Tenerife,Mirandes,10,9,5,2,2,8,15,7,2,2,2,0,1,1,A
Leganes,Cartagena,14,11,5,5,2,4,13,9,4,2,0,0,3,0,H
Alcorcon,Zaragoza,7,12,0,1,7,7,5,10,1,1,0,1,0,0,D
Mirandes,Ponferradina,6,10,1,4,3,5,21,9,3,2,0,0,0,0,A
Albacete,Oviedo,11,5,4,3,7,2,17,22,5,5,0,2,0,1,D
Mallorca,Tenerife,8,18,2,6,3,4,12,10,1,2,0,0,1,0,H
Las Palmas,Logrones,10,7,3,3,7,4,21,19,4,1,0,0,0,0,H
Vallecano,Malaga,13,7,7,2,8,2,17,16,1,1,0,0,2,0,H
Girona,Fuenlabrada,6,9,0,2,6,3,14,15,4,4,0,1,0,1,A
Sabadell,Espanol,7,15,2,7,7,5,11,12,1,2,0,0,0,0,A
Almeria,Sp Gijon,11,4,3,3,9,2,12,16,0,6,0,0,0,0,A
Castellon,Leganes,8,15,3,6,5,10,17,9,2,1,0,0,1,0,H
Cartagena,Lugo,11,11,6,5,3,8,18,12,3,5,0,0,1,0,H
Sabadell,Mirandes,6,9,1,5,6,7,14,13,2,0,0,0,0,0,A
Espanol,Alcorcon,13,8,5,3,6,2,9,13,0,2,0,0,0,0,H
Logrones,Almeria,6,4,2,0,7,4,19,18,0,3,0,0,0,0,H
Tenerife,Vallecano,4,12,2,2,1,8,24,14,1,2,0,0,0,0,H
Fuenlabrada,Castellon,12,12,5,2,5,9,21,6,3,2,0,1,1,0,D
Lugo,Mallorca,3,9,2,3,2,3,15,21,6,4,2,0,0,0,A
Leganes,Girona,15,9,2,4,8,3,18,27,5,5,0,0,0,1,A
Malaga,Las Palmas,12,11,1,2,5,0,12,20,3,2,0,1,0,0,D
Zaragoza,Albacete,12,7,3,3,8,8,14,13,3,2,0,0,0,0,H
Ponferradina,Cartagena,8,11,2,4,3,7,14,16,3,4,0,0,0,0,A
Oviedo,Sp Gijon,12,11,2,3,2,2,13,10,2,2,0,0,1,0,H
Albacete,Sabadell,10,10,6,4,3,4,7,14,1,1,0,0,1,0,H
Castellon,Lugo,8,12,1,4,7,2,12,13,2,3,0,0,0,0,A
Cartagena,Fuenlabrada,7,13,1,4,4,4,17,26,3,5,0,0,0,0,D
Las Palmas,Almeria,9,8,4,3,4,2,21,19,3,3,0,0,1,0,H
Logrones,Leganes,13,9,3,3,7,4,19,17,1,3,0,0,0,1,A
Vallecano,Espanol,11,3,3,0,5,5,13,14,6,4,0,0,0,0,H
Mirandes,Mallorca,10,6,2,2,5,5,13,13,2,5,0,1,0,0,D
Zaragoza,Malaga,13,4,3,2,4,1,13,11,1,2,0,0,0,2,A
Girona,Oviedo,11,10,3,3,5,2,18,14,2,1,0,0,0,0,H
Sp Gijon,Tenerife,5,10,3,3,2,5,13,10,1,3,0,0,0,0,D
Espanol,Mirandes,11,8,5,2,2,3,10,12,1,0,0,0,2,0,H
Las Palmas,Castellon,8,7,4,3,1,7,12,8,2,1,0,0,0,0,H
Lugo,Girona,10,6,6,1,5,2,12,19,5,1,0,1,0,0,H
Ponferradina,Tenerife,10,10,7,2,2,2,15,19,6,6,0,1,1,0,H
Almeria,Cartagena,15,13,3,5,1,4,21,15,3,1,0,0,0,1,D
Fuenlabrada,Logrones,9,8,3,1,1,2,22,20,2,6,0,0,0,0,D
Leganes,Zaragoza,10,10,6,1,9,1,15,14,3,1,0,0,0,0,H
