HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Inter,Genoa,17,11,8,5,8,2,18,7,1,2,0,0,2,0,H
Verona,Sassuolo,12,15,4,8,7,4,11,12,3,2,1,0,0,1,A
Empoli,Lazio,16,8,5,5,5,3,13,10,2,1,0,0,1,3,A
Torino,Atalanta,19,6,8,2,5,1,17,13,2,2,0,0,0,1,A
Bologna,Salernitana,18,8,7,4,9,4,13,15,6,3,2,1,0,0,H
Udinese,Juventus,11,11,6,4,3,3,11,12,1,3,0,0,0,2,D
Napoli,Venezia,13,8,4,4,2,2,5,22,1,7,1,0,0,0,H
Roma,Fiorentina,11,11,6,8,4,4,12,14,3,2,1,1,1,0,H
Cagliari,Spezia,16,13,10,6,11,4,17,17,2,3,0,0,0,1,D
Sampdoria,Milan,11,10,3,4,8,3,16,14,3,1,0,0,0,1,A
Udinese,Venezia,18,8,10,3,7,2,11,8,2,3,0,0,1,0,H
Verona,Inter,4,15,1,8,6,4,13,12,2,2,0,0,1,0,A
Atalanta,Bologna,21,3,3,1,5,5,11,14,2,5,0,0,0,0,D
Lazio,Spezia,18,5,10,2,4,2,12,9,0,2,0,1,3,1,H
Fiorentina,Torino,10,4,7,1,3,3,13,28,4,5,0,0,1,0,H
Juventus,Empoli,20,9,6,3,8,9,11,6,2,3,0,0,0,1,A
Genoa,Napoli,7,12,3,8,4,5,17,15,2,3,0,0,0,1,A
Sassuolo,Sampdoria,19,13,6,3,8,6,9,14,2,2,0,0,0,0,D
Milan,Cagliari,17,6,5,2,8,3,12,11,1,5,0,0,4,1,H
Salernitana,Roma,4,21,0,10,1,10,12,11,2,2,0,0,0,0,A
Empoli,Venezia,17,10,6,3,8,2,12,21,2,5,0,0,0,1,A
Napoli,Juventus,24,7,7,4,13,1,14,16,2,1,0,0,0,1,H
Atalanta,Fiorentina,10,7,5,2,10,3,14,19,5,4,0,0,0,1,A
Sampdoria,Inter,12,8,3,3,4,4,12,13,4,4,0,0,1,2,D
Cagliari,Genoa,8,9,3,3,2,6,15,15,2,3,0,0,1,0,A
Spezia,Udinese,20,8,5,4,4,5,12,14,1,2,0,0,0,0,A
Torino,Salernitana,15,7,7,2,7,4,10,11,0,2,0,0,1,0,H
Milan,Lazio,17,7,3,5,5,1,9,18,1,4,0,0,1,0,H
Roma,Sassuolo,19,13,9,7,4,6,7,11,2,1,0,0,1,0,H
Bologna,Verona,13,5,4,1,6,2,14,21,1,3,0,0,0,0,H
Sassuolo,Torino,9,18,1,6,6,3,7,20,0,4,0,0,0,0,A
Genoa,Fiorentina,9,16,3,5,1,11,13,16,4,4,0,0,0,0,A
Inter,Bologna,19,7,11,2,5,1,10,9,0,3,0,0,3,0,H
Salernitana,Atalanta,11,10,1,3,6,4,21,13,4,4,0,0,0,0,A
