HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Pisa,Benevento,8,13,0,4,7,1,15,18,4,1,0,0,0,0,D
Crotone,Cosenza,15,7,3,5,6,4,13,19,1,3,0,1,0,0,D
Salernitana,Pescara,20,10,11,2,4,5,11,12,2,2,0,0,1,0,H
Ascoli,Trapani,9,12,6,3,4,4,14,20,0,5,1,1,1,0,H
Cittadella,Spezia,10,9,3,3,5,3,14,21,2,1,0,0,0,0,A
Venezia,Cremonese,12,11,1,5,6,5,7,19,2,3,0,0,0,0,A
Virtus Entella,Livorno,6,5,3,2,4,4,18,18,2,3,0,0,1,0,H
Empoli,Juve Stabia,15,4,4,3,1,0,14,11,1,1,0,0,1,0,H
Perugia,Chievo,16,10,4,6,4,8,16,10,3,2,0,0,1,1,H
Pordenone,Frosinone,18,16,5,5,3,4,14,24,1,3,0,0,1,0,H
Chievo,Empoli,14,13,5,6,4,3,12,15,0,0,0,0,1,1,D
Benevento,Cittadella,17,9,7,7,7,4,16,15,1,1,0,0,1,0,H
Spezia,Crotone,8,6,6,3,6,2,8,17,0,3,0,0,1,2,A
Cosenza,Salernitana,8,6,3,3,3,1,20,16,3,4,0,0,0,0,A
Cremonese,Virtus Entella,15,11,5,4,6,6,10,8,1,2,0,0,0,1,A
Livorno,Perugia,12,6,3,1,12,2,17,13,1,4,0,1,0,0,A
Trapani,Venezia,11,13,4,4,6,7,19,16,2,2,0,0,0,1,A
Juve Stabia,Pisa,14,11,1,3,8,2,23,14,4,2,0,1,0,1,A
Pescara,Pordenone,19,11,4,2,5,3,17,18,3,2,0,0,1,2,H
Frosinone,Ascoli,20,11,8,5,7,2,19,28,5,4,1,0,0,1,H
Pordenone,Spezia,12,11,5,1,5,4,18,24,1,3,0,0,0,0,H
Ascoli,Livorno,11,9,4,4,4,3,16,19,4,3,0,0,1,0,H
Cittadella,Trapani,13,8,6,4,7,5,24,16,3,3,0,0,0,0,H
Perugia,Juve Stabia,11,12,4,5,6,7,13,24,0,4,0,1,0,0,D
Virtus Entella,Frosinone,8,17,3,8,4,5,15,13,3,3,0,0,0,0,H
Venezia,Chievo,5,8,2,4,2,3,13,16,2,3,1,0,0,1,A
Cosenza,Pescara,13,6,5,1,7,1,15,14,1,2,0,0,0,1,A
Crotone,Empoli,19,10,6,1,14,2,12,17,1,1,0,0,0,0,D
Pisa,Cremonese,15,21,8,5,4,6,9,15,2,3,0,0,1,0,H
Salernitana,Benevento,10,14,0,4,4,7,18,14,3,0,0,0,0,0,A
Frosinone,Venezia,10,10,4,4,4,5,17,24,2,4,0,0,0,0,D
Benevento,Cosenza,14,10,3,5,6,3,14,18,1,5,0,0,0,0,H
Cremonese,Crotone,15,18,7,6,6,3,15,17,2,2,0,0,2,1,H
Empoli,Cittadella,10,16,3,2,3,4,17,21,1,4,0,0,1,0,H
Juve Stabia,Ascoli,20,19,9,9,4,3,18,12,4,3,1,0,0,0,A
Livorno,Pordenone,10,11,4,4,4,6,16,24,1,3,0,0,1,0,H
Pescara,Virtus Entella,11,5,5,3,3,1,10,12,2,3,1,0,0,1,D
Spezia,Perugia,13,11,5,5,4,7,19,14,1,4,0,0,2,1,D
Chievo,Pisa,18,14,8,4,4,1,12,10,1,2,0,0,0,1,D
Trapani,Salernitana,12,4,5,1,4,2,20,18,5,2,0,0,0,0,A
Ascoli,Spezia,8,15,4,1,2,7,11,16,3,4,0,1,2,0,H
Cittadella,Pescara,15,11,6,2,3,4,14,9,5,2,0,0,1,0,H
Cosenza,Livorno,9,12,5,4,6,2,19,20,2,1,0,0,0,0,D
Crotone,Juve Stabia,26,5,9,0,15,0,13,12,3,3,0,0,0,0,H
Perugia,Frosinone,19,5,7,2,7,5,20,14,1,3,0,0,2,1,H
Pisa,Empoli,9,15,6,5,7,3,12,15,2,4,0,0,1,1,A
Pordenone,Benevento,14,12,4,6,5,3,21,24,4,2,0,0,1,1,D
Virtus Entella,Venezia,15,11,1,8,2,5,15,20,2,2,0,1,0,1,A
Trapani,Cremonese,16,3,4,3,9,2,9,14,0,3,0,0,0,0,D
Salernitana,Chievo,3,4,3,4,6,2,20,15,6,5,1,1,1,1,D
Pescara,Crotone,13,17,3,9,6,10,12,10,2,1,0,0,0,1,A
Frosinone,Cosenza,7,12,0,4,9,3,13,12,4,3,1,0,1,0,D
Juve Stabia,Cittadella,7,10,2,2,6,1,19,22,4,5,1,0,0,0,A
Venezia,Pisa,11,11,3,3,8,4,12,16,4,4,0,1,1,1,D
Empoli,Perugia,15,18,7,3,1,4,10,19,0,2,0,0,2,0,H
Benevento,Virtus Entella,21,7,5,3,3,5,10,19,4,3,0,0,1,0,D
Chievo,Pordenone,20,6,8,2,9,4,14,17,3,5,0,2,0,1,D
Spezia,Trapani,11,8,3,8,8,2,13,16,0,1,0,0,1,3,A
Livorno,Salernitana,20,8,7,3,8,3,18,14,2,3,0,0,1,1,A
Cremonese,Ascoli,17,4,8,1,3,4,17,13,2,2,0,0,1,0,H
Perugia,Pisa,3,3,3,3,5,7,19,9,2,0,0,0,1,0,H
Cosenza,Venezia,15,9,3,2,3,5,16,12,1,3,0,0,1,0,D
Crotone,Virtus Entella,18,8,7,4,7,3,8,6,2,2,0,0,2,0,H
Livorno,Chievo,13,15,5,5,5,2,18,12,2,5,1,1,3,1,A
Pordenone,Empoli,21,9,5,2,6,2,13,9,3,0,0,1,2,0,H
Spezia,Benevento,8,5,2,2,4,7,9,7,3,2,0,1,0,0,A
Trapani,Juve Stabia,10,12,3,7,3,4,24,9,2,3,0,0,1,0,A
Cremonese,Cittadella,7,22,1,5,3,10,9,15,4,3,1,0,0,1,A
Salernitana,Frosinone,7,16,2,6,3,7,16,13,3,3,0,1,1,0,D
Ascoli,Pescara,10,13,2,2,4,4,18,18,1,3,0,0,0,0,A
Cittadella,Cosenza,9,14,3,5,5,5,24,16,4,2,0,0,1,0,A
Juve Stabia,Pordenone,12,17,8,6,5,6,17,18,2,3,0,0,4,1,H
Pescara,Spezia,8,10,2,2,4,4,9,21,4,3,0,0,1,0,A
Venezia,Salernitana,11,4,3,1,3,3,23,24,5,4,0,0,1,0,H
Virtus Entella,Trapani,18,11,7,1,7,6,14,16,2,4,0,0,1,0,D
Benevento,Perugia,17,14,7,4,3,7,14,21,5,2,1,1,1,0,H
Chievo,Ascoli,24,7,8,4,6,3,8,16,0,3,0,1,1,0,H
Pisa,Crotone,8,20,3,5,2,6,14,16,7,4,0,1,1,0,D
Empoli,Cremonese,17,20,4,8,4,4,10,10,0,3,0,1,1,0,D
Frosinone,Livorno,25,9,6,4,10,3,15,17,3,3,0,0,0,0,H
Ascoli,Virtus Entella,10,15,4,3,3,5,12,12,4,8,1,1,2,1,H
Cosenza,Chievo,13,5,2,1,7,4,19,16,2,3,0,0,1,1,D
Crotone,Venezia,21,9,6,3,7,5,14,18,1,4,0,0,1,1,H
Pescara,Benevento,13,10,5,2,6,9,14,14,3,2,0,0,0,0,H
Pordenone,Cittadella,9,11,4,4,4,6,16,18,3,3,0,0,0,0,D
Salernitana,Perugia,8,10,3,4,2,6,21,21,1,1,0,0,0,0,D
Spezia,Juve Stabia,17,4,5,1,5,5,14,16,3,4,0,1,1,0,H
Trapani,Empoli,21,20,9,9,3,5,15,17,2,1,0,0,1,1,D
Livorno,Pisa,10,21,2,2,3,4,22,16,5,2,1,1,1,0,H
Cremonese,Frosinone,16,11,6,4,9,0,14,10,0,1,0,0,0,0,D
Chievo,Crotone,13,13,1,6,5,2,26,18,3,3,0,1,0,1,H
Cittadella,Livorno,11,14,4,7,5,7,21,14,4,3,1,0,0,0,H
Empoli,Spezia,16,13,4,4,7,3,14,18,2,5,0,0,0,0,D
Juve Stabia,Pescara,11,12,4,6,4,4,23,25,7,4,1,1,1,1,H
Perugia,Ascoli,12,14,2,7,4,4,17,17,4,0,0,0,0,1,D
Pisa,Salernitana,5,10,3,6,0,2,21,26,3,3,0,0,2,0,H
Venezia,Pordenone,17,14,3,5,2,3,9,16,2,3,0,0,0,0,A
Virtus Entella,Cosenza,18,11,8,3,4,1,17,11,2,3,0,0,0,0,H
Benevento,Cremonese,17,12,10,3,4,6,19,16,1,1,0,0,0,0,H
Frosinone,Trapani,18,20,8,6,4,6,9,18,2,4,0,0,1,0,H
Spezia,Chievo,5,20,0,7,5,6,19,20,3,1,0,0,0,0,D
Ascoli,Venezia,7,13,3,2,3,7,19,18,2,4,0,0,0,0,D
Crotone,Perugia,14,5,6,4,13,1,11,14,0,0,0,0,0,1,A
Livorno,Juve Stabia,25,11,8,1,11,3,15,20,2,3,0,0,0,0,H
Pescara,Pisa,13,8,5,3,4,6,17,13,1,2,0,0,1,0,H
Salernitana,Virtus Entella,20,5,8,4,7,4,11,16,2,3,0,0,0,0,H
Cittadella,Frosinone,9,9,1,3,6,5,22,13,3,1,0,0,0,0,D
Pordenone,Trapani,19,14,5,3,8,7,12,8,0,4,0,1,1,0,H
Benevento,Empoli,11,11,5,4,3,6,11,13,1,0,0,0,2,0,H
Cosenza,Cremonese,13,11,4,3,5,4,18,13,3,2,0,0,2,0,H
Crotone,Ascoli,24,7,7,5,8,7,16,17,1,3,0,0,2,1,H
