HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Frosinone,Parma,18,8,9,3,10,6,16,11,1,2,0,0,1,1,D
Pordenone,Perugia,11,8,3,2,3,1,14,23,1,8,0,1,0,1,A
Cittadella,Vicenza,16,6,6,2,9,2,24,23,6,4,0,0,0,0,H
Reggina,Monza,11,8,3,1,4,2,19,18,2,3,0,1,0,0,D
Ternana,Brescia,15,10,7,6,5,2,7,20,0,4,0,0,0,2,A
Ascoli,Cosenza,12,7,2,1,2,6,13,9,2,2,0,0,1,0,H
Benevento,Alessandria,14,12,5,5,5,7,12,16,3,4,0,0,2,2,H
Cremonese,Lecce,14,14,4,6,3,4,12,13,3,1,0,0,0,0,H
Crotone,Como,19,13,5,4,7,3,16,12,4,4,0,0,0,0,D
Pisa,Spal,11,13,2,5,5,4,28,11,2,4,0,0,1,0,H
Pisa,Alessandria,16,6,6,2,3,1,23,16,2,2,0,0,0,0,H
Brescia,Cosenza,25,12,10,4,7,5,5,8,0,2,0,0,2,0,H
Vicenza,Frosinone,10,21,1,5,3,13,17,16,4,2,0,0,0,0,A
Perugia,Ascoli,20,15,5,8,2,4,11,13,2,4,0,0,1,1,A
Cittadella,Crotone,15,13,11,4,2,4,9,19,1,2,0,0,1,1,H
Lecce,Como,10,7,5,3,5,1,13,11,2,2,0,0,1,1,D
Monza,Cremonese,8,16,2,1,2,6,21,13,3,2,0,0,0,0,H
Parma,Benevento,10,16,5,6,3,4,19,14,3,2,0,0,0,0,H
Reggina,Ternana,15,13,9,4,6,3,18,17,5,4,1,2,0,1,H
Spal,Pordenone,30,6,13,0,9,3,12,7,2,1,0,1,3,0,H
Benevento,Lecce,6,18,0,7,4,10,6,14,1,2,0,0,0,0,D
Alessandria,Brescia,8,15,4,8,5,10,9,12,4,2,0,0,0,0,A
Como,Ascoli,14,11,6,4,5,6,18,15,4,2,0,0,0,0,A
Frosinone,Perugia,13,12,4,3,7,2,12,16,3,4,0,0,0,0,D
Spal,Monza,18,13,7,3,2,8,20,13,1,2,0,0,1,0,D
Ternana,Pisa,12,12,4,7,6,2,19,13,2,2,0,0,1,2,A
Crotone,Reggina,13,6,3,2,9,1,20,15,2,4,0,0,0,1,D
Cosenza,Vicenza,8,11,6,4,0,3,9,21,2,3,0,0,1,0,H
Cremonese,Cittadella,4,12,2,6,2,8,8,18,3,2,1,0,1,0,H
Pordenone,Parma,15,10,2,6,7,2,11,9,3,1,0,0,0,2,A
Como,Frosinone,16,15,6,5,6,8,10,17,1,3,0,0,0,2,A
Brescia,Crotone,14,9,3,3,3,7,14,11,1,4,0,0,1,0,D
Ascoli,Benevento,12,8,3,3,3,3,22,19,4,6,0,0,0,2,A
Lecce,Alessandria,24,7,5,4,10,1,9,18,1,4,0,1,1,1,H
Monza,Ternana,12,16,3,4,6,7,12,14,1,1,0,0,1,0,D
Perugia,Cosenza,14,13,6,7,2,4,14,9,5,3,0,1,0,0,D
Reggina,Spal,16,11,7,4,9,4,12,14,0,4,0,0,1,1,H
Vicenza,Pisa,10,13,4,7,3,7,19,13,5,2,0,0,1,1,A
Cittadella,Pordenone,8,9,3,0,3,3,19,17,5,2,0,0,0,0,H
Parma,Cremonese,11,16,2,6,2,4,10,15,4,3,1,0,0,2,A
Frosinone,Brescia,18,12,9,3,5,4,13,15,5,2,0,0,2,1,D
Alessandria,Ascoli,18,13,7,6,14,3,9,16,1,1,0,0,0,2,A
Benevento,Cittadella,12,16,5,8,1,8,7,17,1,5,0,0,1,1,H
Cosenza,Como,6,12,5,3,1,7,20,14,3,5,0,0,1,0,H
Crotone,Lecce,18,10,3,3,10,3,13,15,1,2,0,0,0,2,A
Pisa,Monza,10,11,4,4,3,4,17,14,3,4,0,1,1,0,H
Pordenone,Reggina,10,12,1,2,5,4,15,15,3,2,1,0,1,0,D
Spal,Vicenza,20,12,6,4,11,8,16,11,2,1,0,0,1,1,H
Ternana,Parma,14,11,6,3,3,2,15,10,2,2,0,0,0,0,H
Cremonese,Perugia,19,8,4,4,9,1,18,13,4,4,0,1,0,2,A
Ascoli,Brescia,19,22,4,9,5,9,12,13,2,1,0,0,2,1,A
Cittadella,Lecce,13,11,4,3,2,4,13,15,3,3,0,0,1,1,A
Como,Benevento,11,11,1,3,5,4,18,9,4,1,0,1,1,1,D
Monza,Pordenone,16,12,5,4,6,4,16,16,3,2,0,0,1,1,H
Reggina,Frosinone,10,13,4,3,3,10,13,22,3,5,0,0,0,0,D
Cosenza,Crotone,9,13,6,4,1,4,8,13,1,4,0,0,0,0,H
Perugia,Alessandria,12,12,4,3,7,4,17,19,4,3,0,0,1,1,D
Parma,Pisa,18,10,7,2,12,5,11,17,2,3,0,0,0,1,D
Ternana,Spal,8,18,3,4,4,5,12,14,4,1,0,0,1,0,H
Vicenza,Cremonese,8,11,0,3,5,1,20,13,8,3,1,0,0,1,A
Lecce,Monza,15,2,6,1,5,2,15,21,1,2,0,0,1,0,H
Alessandria,Cosenza,8,4,1,1,7,5,14,8,2,0,0,0,0,0,H
Cremonese,Ternana,10,17,4,4,4,10,16,9,2,2,0,0,1,0,H
Crotone,Ascoli,9,15,3,6,5,11,17,18,3,4,1,0,2,1,D
Frosinone,Cittadella,13,12,4,4,5,3,14,20,1,6,0,0,0,0,A
Pisa,Reggina,15,14,6,2,12,9,19,18,2,2,0,1,1,0,H
Spal,Parma,28,11,9,3,7,4,14,14,4,3,0,1,0,1,D
Brescia,Como,23,12,3,5,11,6,17,7,3,2,1,0,1,1,A
Pordenone,Vicenza,18,22,5,11,3,1,18,20,2,5,0,0,1,2,A
Benevento,Perugia,18,15,3,5,6,2,12,27,4,1,0,0,0,0,D
Ascoli,Lecce,12,9,5,6,4,2,27,22,5,2,0,0,0,1,D
Crotone,Pisa,10,20,4,6,3,12,18,13,4,1,0,0,2,1,H
Pordenone,Ternana,15,17,4,5,10,4,17,14,3,2,0,0,0,2,A
Vicenza,Reggina,13,11,3,2,5,3,22,13,4,1,0,0,0,1,A
Cosenza,Frosinone,3,23,2,9,1,8,11,18,2,3,0,0,1,0,D
Perugia,Brescia,8,5,1,1,6,3,18,20,4,3,0,0,1,0,H
Como,Alessandria,12,6,7,2,2,0,15,18,1,0,0,0,0,0,H
Cremonese,Benevento,9,15,2,4,2,10,13,13,1,2,0,0,0,1,D
Parma,Monza,17,10,3,2,5,9,10,9,4,5,0,1,0,0,D
Cittadella,Spal,10,10,4,3,5,5,26,21,2,2,0,0,0,0,D
Alessandria,Crotone,19,13,7,3,13,7,16,15,4,2,0,1,1,0,H
Benevento,Cosenza,16,7,6,0,4,5,14,14,1,1,0,0,1,0,H
Lecce,Perugia,14,6,4,0,5,5,20,15,3,1,0,0,0,0,D
Monza,Cittadella,10,14,3,2,7,13,14,15,3,1,0,0,0,0,H
Ternana,Vicenza,14,11,6,0,2,2,10,12,3,5,0,1,2,0,H
Frosinone,Ascoli,16,8,2,3,9,6,13,7,2,1,0,0,1,0,H
Brescia,Cremonese,10,12,2,2,7,4,16,6,1,1,0,0,0,0,H
Pisa,Pordenone,8,12,2,3,6,7,20,21,1,2,0,0,0,0,D
Reggina,Parma,16,11,6,3,2,7,12,19,5,5,0,0,1,0,H
Spal,Como,29,13,15,7,10,4,10,18,0,4,0,0,0,1,D
Cosenza,Ternana,12,22,6,7,0,2,10,13,1,0,0,0,2,1,H
Vicenza,Monza,12,8,5,2,3,4,22,13,3,1,0,0,0,1,D
Alessandria,Frosinone,10,18,1,5,4,5,13,18,1,5,0,0,0,0,D
Ascoli,Spal,17,9,7,2,4,3,20,26,5,4,0,0,0,0,A
