HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Fiorentina,Torino,17,6,8,3,4,1,17,20,3,1,0,0,0,0,H
Verona,Roma,9,15,7,7,0,6,19,20,2,0,0,0,0,0,D
Parma,Napoli,4,12,2,7,4,2,16,12,4,1,0,0,0,0,A
Genoa,Crotone,10,11,8,5,6,4,13,14,4,2,0,0,3,1,H
Sassuolo,Cagliari,21,8,10,4,7,3,9,18,1,3,0,0,0,0,D
Juventus,Sampdoria,14,10,9,2,6,4,15,9,1,1,0,0,1,0,H
Milan,Bologna,14,6,6,5,7,4,13,17,3,5,0,1,1,0,H
Torino,Atalanta,5,12,5,7,2,6,11,12,1,2,0,0,2,3,A
Cagliari,Lazio,9,9,3,7,3,6,8,13,1,1,0,0,0,1,A
Sampdoria,Benevento,5,11,4,6,6,4,17,12,3,1,0,0,2,1,A
Inter,Fiorentina,12,8,6,4,5,1,15,10,1,1,0,0,1,1,H
Spezia,Sassuolo,11,10,6,8,3,5,13,8,2,1,0,0,1,1,A
Napoli,Genoa,18,3,11,1,4,2,6,13,1,2,0,0,1,0,H
Verona,Udinese,8,14,2,6,1,9,13,13,1,0,0,0,0,0,H
Crotone,Milan,5,11,1,7,2,5,14,15,1,3,0,0,0,1,A
Roma,Juventus,7,6,6,3,5,7,19,9,2,3,0,1,2,1,D
Bologna,Parma,11,8,8,4,8,9,12,9,1,2,0,1,2,0,H
Benevento,Inter,11,18,7,12,5,1,10,15,1,0,0,0,1,4,A
Udinese,Spezia,10,4,5,3,2,2,13,17,0,5,0,1,0,1,A
Lazio,Atalanta,11,8,8,6,7,3,16,11,7,2,0,0,0,3,A
Fiorentina,Sampdoria,16,14,6,10,8,4,11,16,0,3,0,0,0,1,A
Sassuolo,Crotone,7,10,4,6,3,4,15,15,2,3,0,0,1,0,H
Udinese,Roma,9,8,5,3,4,1,15,10,1,0,0,0,0,0,A
Atalanta,Cagliari,19,7,14,3,3,9,11,9,0,0,0,0,4,1,H
Benevento,Bologna,6,13,3,7,4,10,13,15,2,1,0,0,0,0,H
Lazio,Inter,11,10,5,4,7,8,14,13,3,4,1,1,0,1,D
Parma,Verona,7,8,5,5,7,6,11,19,1,1,0,0,1,0,H
Milan,Spezia,10,3,5,2,4,6,14,19,1,2,0,0,0,0,H
Napoli,Atalanta,18,11,14,3,6,2,12,23,1,3,0,0,4,0,H
Inter,Milan,12,8,6,4,3,5,18,11,3,4,0,0,1,2,A
Sampdoria,Lazio,11,8,8,1,3,3,12,10,2,2,0,0,2,0,H
Crotone,Juventus,9,8,3,3,3,4,17,14,3,3,0,1,1,1,D
Bologna,Sassuolo,11,20,7,12,7,11,20,12,2,2,0,0,2,1,A
Spezia,Fiorentina,6,7,2,6,5,5,15,18,2,2,0,0,1,2,D
Torino,Cagliari,10,9,6,7,2,4,14,16,2,3,1,0,1,2,A
Udinese,Parma,9,7,4,3,11,2,12,11,3,2,0,0,1,1,H
Roma,Benevento,16,8,10,4,6,4,17,7,3,2,0,0,2,1,H
Verona,Genoa,18,5,12,2,14,2,14,15,1,4,0,0,0,0,D
Sassuolo,Torino,13,14,9,12,6,8,10,12,2,2,0,0,0,1,D
Atalanta,Sampdoria,10,5,5,4,3,1,11,18,3,4,0,0,0,1,A
Genoa,Inter,1,10,0,6,1,9,11,17,1,1,0,0,0,0,A
Lazio,Bologna,6,16,4,6,8,9,14,15,3,3,0,0,0,0,H
Cagliari,Crotone,15,11,8,6,5,1,13,13,2,4,0,1,3,2,H
Benevento,Napoli,6,14,3,8,3,15,18,13,3,1,0,0,1,0,A
Parma,Spezia,15,13,7,9,12,3,12,22,3,2,0,0,1,2,D
Fiorentina,Udinese,4,11,3,6,2,7,16,14,1,3,0,0,2,1,H
Juventus,Verona,16,5,8,2,6,3,14,19,1,4,0,0,0,0,D
Milan,Roma,13,11,11,9,7,7,15,15,3,2,0,0,1,1,D
Crotone,Atalanta,4,16,2,7,1,3,11,22,1,3,0,0,1,2,A
Inter,Parma,18,4,9,3,15,2,13,7,1,1,0,0,0,0,D
Bologna,Cagliari,16,6,11,4,7,3,12,19,3,3,0,0,1,1,H
Udinese,Milan,7,8,3,4,2,4,14,12,2,2,0,0,0,1,A
Spezia,Juventus,11,8,3,5,4,3,14,7,3,1,0,0,1,1,A
Torino,Lazio,8,9,6,5,7,1,11,12,2,4,0,0,2,1,A
Napoli,Sassuolo,18,8,7,5,12,3,7,9,2,2,0,0,0,0,A
Roma,Fiorentina,11,3,7,1,7,4,17,16,3,2,0,1,1,0,H
Sampdoria,Genoa,9,7,3,4,7,4,19,11,5,1,0,0,1,1,D
Verona,Benevento,10,10,7,5,4,5,18,14,5,4,0,1,1,0,H
Genoa,Torino,9,6,4,1,5,2,10,18,2,4,0,0,0,2,A
Sassuolo,Udinese,3,0,1,0,3,6,17,13,2,2,0,0,0,0,D
Cagliari,Sampdoria,13,5,7,1,2,6,12,16,0,2,0,1,0,0,H
Benevento,Spezia,4,13,3,7,2,4,13,18,3,3,0,0,0,1,A
Parma,Fiorentina,5,6,0,4,2,3,17,17,1,2,0,0,0,0,D
Lazio,Juventus,7,9,3,6,4,2,12,12,2,2,0,0,0,1,D
Atalanta,Inter,9,10,4,3,2,5,15,13,1,3,0,0,0,0,D
Genoa,Roma,7,18,5,11,1,8,10,11,1,0,0,0,0,1,A
Torino,Crotone,5,7,1,2,6,3,15,16,3,4,0,1,0,0,D
Bologna,Napoli,6,8,4,4,4,7,12,11,3,0,0,0,0,1,A
Milan,Verona,21,5,9,3,14,1,16,20,1,3,0,0,1,2,D
Crotone,Lazio,12,13,6,9,2,6,11,11,3,4,0,0,0,1,A
Spezia,Atalanta,6,9,3,5,1,2,19,18,3,3,0,0,0,0,D
Juventus,Cagliari,13,2,8,0,9,1,11,7,3,2,0,0,2,0,H
Fiorentina,Benevento,5,10,3,4,4,4,14,16,2,3,0,0,0,0,A
Inter,Torino,9,11,7,6,1,1,20,14,3,2,0,0,0,1,H
Roma,Parma,12,1,7,1,4,1,5,4,0,0,0,0,3,0,H
Sampdoria,Bologna,8,7,4,5,9,10,10,9,2,2,0,0,1,1,A
Verona,Sassuolo,13,10,7,5,6,1,13,20,1,3,0,0,0,1,A
