HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Parma,Juventus,5,9,4,4,5,8,12,14,2,3,0,0,0,1,A
Fiorentina,Napoli,10,8,6,6,4,5,21,16,2,4,0,0,1,2,A
Udinese,Milan,11,6,6,0,9,4,14,11,1,3,0,0,0,0,H
Cagliari,Brescia,9,8,5,3,8,8,10,11,2,2,0,0,0,0,A
Roma,Genoa,17,6,9,4,5,1,15,13,3,1,0,0,2,2,D
Sampdoria,Lazio,12,16,8,10,5,9,13,11,2,2,0,0,0,1,A
Spal,Atalanta,8,18,3,14,2,10,13,16,2,1,0,0,2,1,A
Torino,Sassuolo,7,13,4,9,6,6,21,15,4,3,0,0,1,0,H
Verona,Bologna,5,14,2,5,1,6,12,13,1,3,1,0,1,1,D
Inter,Lecce,16,10,7,4,7,7,14,8,1,2,0,1,2,0,H
Bologna,Spal,18,7,9,1,11,2,13,13,3,2,0,0,0,0,H
Milan,Brescia,11,4,6,2,5,3,14,18,3,4,0,0,1,0,H
Juventus,Napoli,10,12,8,7,2,5,13,13,3,3,0,0,2,0,H
Lazio,Roma,21,8,13,5,8,4,15,13,4,3,0,0,0,1,D
Atalanta,Torino,19,8,12,6,12,5,13,15,2,2,0,0,1,1,A
Cagliari,Inter,7,9,3,8,5,5,12,11,5,3,0,0,0,1,A
Genoa,Fiorentina,18,15,10,7,9,8,17,15,2,0,0,0,1,0,H
Lecce,Verona,9,11,3,6,2,7,14,14,2,3,0,0,0,0,A
Sassuolo,Sampdoria,11,8,8,5,3,5,9,10,1,3,0,1,3,0,H
Udinese,Parma,17,6,12,3,8,1,11,11,1,3,0,0,1,1,A
Fiorentina,Juventus,15,5,8,4,10,0,12,18,3,3,0,0,0,0,D
Napoli,Sampdoria,19,7,9,2,8,7,7,10,2,2,0,0,1,0,H
Inter,Udinese,15,6,10,4,8,3,9,10,2,1,0,1,1,0,H
Genoa,Atalanta,8,11,3,6,8,7,12,14,3,3,0,0,0,0,A
Brescia,Bologna,9,17,7,6,2,10,14,17,2,6,1,0,3,1,A
Parma,Cagliari,14,6,8,4,12,3,12,16,0,5,0,0,0,2,A
Spal,Lazio,9,11,4,7,8,5,9,11,5,3,0,0,0,1,H
Roma,Sassuolo,14,10,10,5,8,2,13,9,1,2,0,0,4,0,H
Verona,Milan,6,11,2,6,2,7,13,16,4,3,1,1,0,0,A
Torino,Lecce,12,12,3,5,7,3,11,19,1,6,0,0,0,1,A
Cagliari,Genoa,8,7,4,2,4,3,12,8,1,1,0,0,0,0,H
Udinese,Brescia,6,5,3,3,3,9,22,16,4,4,0,0,0,0,A
Juventus,Verona,12,8,3,8,2,5,12,20,0,4,0,1,1,1,H
Milan,Inter,7,11,3,9,2,6,15,22,2,1,0,0,0,0,A
Sassuolo,Spal,17,8,8,3,7,9,19,14,3,2,0,0,2,0,H
Bologna,Roma,5,14,3,7,3,4,13,16,3,6,0,1,0,0,A
Lecce,Napoli,8,12,3,10,4,6,12,9,3,3,0,0,0,2,A
Sampdoria,Torino,10,6,6,1,7,8,19,13,2,1,0,0,0,0,H
Atalanta,Fiorentina,15,6,5,3,9,1,14,11,2,5,0,0,0,1,D
Lazio,Parma,22,3,15,1,10,5,7,9,1,3,0,0,1,0,H
