HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Napoli,Sassuolo,12,10,7,7,4,4,11,8,2,2,0,1,1,0,H
Spal,Inter,9,6,6,4,10,9,13,20,6,2,0,0,0,1,A
Juventus,Genoa,13,5,4,2,8,2,10,15,1,3,0,0,1,0,D
Roma,Spal,13,5,9,5,8,9,14,5,3,5,0,1,0,1,A
Udinese,Napoli,7,9,4,4,3,5,11,9,3,4,0,0,0,1,A
Bologna,Torino,6,12,3,8,3,4,9,21,2,2,0,0,0,1,D
Chievo,Atalanta,3,15,2,8,1,2,12,15,3,1,1,0,0,2,A
Fiorentina,Cagliari,7,8,3,5,6,7,13,19,0,2,0,0,0,0,D
Frosinone,Empoli,5,15,4,10,6,8,13,16,2,3,0,0,1,1,D
Inter,Milan,14,9,7,2,9,4,13,7,2,5,0,0,0,0,H
Parma,Lazio,3,15,1,9,2,8,5,11,2,3,0,0,0,0,A
Sampdoria,Sassuolo,7,7,2,2,4,3,10,18,2,3,0,0,0,0,D
Atalanta,Parma,21,9,14,5,6,6,6,8,0,2,0,0,0,0,H
Empoli,Juventus,6,12,4,7,6,10,13,17,2,3,0,0,1,0,A
Torino,Fiorentina,12,8,4,5,4,5,13,20,2,4,0,0,1,1,D
Cagliari,Chievo,12,12,4,5,8,2,16,15,1,6,0,0,1,0,H
Genoa,Udinese,11,11,5,8,4,8,17,18,5,4,1,0,1,0,D
Milan,Sampdoria,8,3,7,2,5,1,11,9,3,2,0,0,2,2,H
Napoli,Roma,18,7,6,5,17,3,7,6,0,5,0,0,0,1,D
Sassuolo,Bologna,11,10,6,6,9,5,20,19,2,3,0,0,1,1,D
Spal,Frosinone,10,5,5,4,9,1,15,11,3,6,0,0,0,1,A
Lazio,Inter,11,13,4,7,7,6,14,10,3,3,0,0,0,2,A
Milan,Genoa,19,7,10,2,7,2,11,17,2,2,0,0,1,0,H
Napoli,Empoli,19,8,13,4,0,7,8,7,0,2,0,0,2,0,H
Fiorentina,Roma,11,11,3,6,3,6,9,20,3,3,0,0,1,0,D
Inter,Genoa,17,8,10,3,11,6,7,15,2,3,0,0,2,0,H
Juventus,Cagliari,11,4,5,3,5,4,10,15,1,3,0,0,2,1,H
Bologna,Atalanta,9,12,5,6,1,4,7,12,1,2,0,0,1,0,A
Chievo,Sassuolo,1,8,1,4,3,2,20,16,5,2,1,0,0,1,A
Lazio,Spal,18,5,11,3,8,4,7,8,1,3,0,0,2,1,H
Parma,Frosinone,9,9,1,1,3,7,14,15,1,4,1,0,0,0,D
Sampdoria,Torino,10,15,4,8,0,2,13,25,2,2,0,0,0,2,A
Udinese,Milan,11,15,4,9,4,7,11,13,3,3,1,0,0,0,A
Frosinone,Fiorentina,5,16,3,10,4,5,8,12,3,0,0,0,0,0,D
Genoa,Napoli,8,13,3,7,2,7,15,6,4,2,0,0,1,0,A
Spal,Cagliari,8,11,4,3,1,6,13,15,2,4,0,0,1,0,D
Torino,Parma,12,11,4,7,7,7,14,17,2,4,0,0,1,2,A
Atalanta,Inter,16,6,10,2,9,6,11,13,3,5,0,1,1,0,H
Chievo,Bologna,12,12,6,6,5,6,15,18,3,3,0,0,2,1,D
Empoli,Udinese,9,22,5,9,4,13,6,11,2,2,0,0,1,0,H
Milan,Juventus,5,12,2,8,2,5,16,9,3,1,1,0,0,1,A
Roma,Sampdoria,10,4,6,3,7,7,8,10,1,1,0,0,1,0,H
Sassuolo,Lazio,9,7,4,3,2,6,15,21,4,3,0,0,1,1,D
Inter,Frosinone,25,5,14,4,11,0,11,11,1,3,0,0,1,0,H
Juventus,Spal,12,8,8,1,6,3,20,11,1,3,0,0,1,0,H
Udinese,Roma,8,23,3,9,0,12,6,10,2,0,0,0,0,0,H
Bologna,Fiorentina,8,11,4,6,4,9,11,21,3,1,0,0,0,0,D
Empoli,Atalanta,12,8,8,5,7,3,12,9,2,2,0,1,1,2,H
Genoa,Sampdoria,10,6,5,2,7,6,17,15,2,1,0,0,1,1,D
Lazio,Milan,16,9,6,4,9,4,10,4,1,1,0,0,0,0,D
Napoli,Chievo,17,7,10,3,20,2,11,13,2,2,0,0,0,0,D
Parma,Sassuolo,10,12,4,5,2,3,14,14,3,4,0,0,2,1,H
Cagliari,Torino,3,8,1,5,3,4,12,13,2,0,0,0,0,0,D
Fiorentina,Juventus,12,9,7,6,4,9,14,8,6,3,0,0,0,1,A
Sampdoria,Bologna,8,8,6,4,1,4,14,10,3,3,0,0,3,1,H
Spal,Empoli,9,13,5,8,4,9,14,14,3,3,1,0,1,2,D
Chievo,Lazio,5,19,2,7,4,6,11,11,4,2,0,0,1,0,D
